time collected,id,sponsored,username,time,likes,comments,description
11-02-24 18:29:40,/p/DBzR1_BxQRG/,not sponsored,sarahstaceyinteriordesign,2024-10-31T20:03:20.000Z,38,3,See how we’ve used color and pattern to craft distinct personalities in these bedrooms. Each room tells a different
11-02-24 18:29:40,/p/DB33GrttD3n/,not sponsored,houseliftdesign,2024-11-02T14:45:52.000Z,742,8,You thought you knew what moody was until you saw this speakeasy from @blancmarineliving. And know you know. 🤎⁣
11-02-24 18:29:40,Sponsored,staplesstores,no time,"91,218",4,"💻🎧 Come see (and touch and hear) all the new tech deals at Staples! Shop top brands like ASUS, Apple, HP and more.",
11-02-24 18:29:40,/p/DBy9JEOsBBm/,not sponsored,housetohomeinteriors,2024-10-31T17:02:24.000Z,23,no comments,"POV: You have been keeping up with House to Home for a while, and now that it is fall and temperatures cool, we spend"
11-02-24 18:29:40,/p/DB05_UyMaEW/,not sponsored,worldarchitectureinterior,2024-11-01T11:13:19.000Z,"3,389",78,"Happy weekend everyone! #inspo I Your favorites, 1-10? I 🤎"
11-02-24 18:29:48,/p/DBzp6xTu5Vg/,not sponsored,stephaniekrausdesigns,2024-10-31T23:33:39.000Z,210,13,"I wish I had a bedroom as cool 😎 as this one. ☝️ Avalon, NJ. "
11-02-24 18:29:48,/p/DB19KCRTGRF/,not sponsored,apdesignhouse,2024-11-01T21:00:00.000Z,no likes,no comments,"Carlo Scarpa, a continued source - "
11-02-24 18:29:51,Sponsored,urbanoutfitters,no time,no likes,no comments,Cherry Toilet Brush,
11-02-24 18:29:57,/p/DB1a94LuQiX/,not sponsored,homeanddesigndc,2024-11-01T16:01:31.000Z,19,no comments,@brusharborhomes designs and builds custom and spec homes as well as large-scale renovations in a wide variety of styles
11-02-24 18:30:01,/p/DBytgUotSUa/,not sponsored,houseliftdesign,2024-10-31T14:45:48.000Z,"2,895",28,"“No matter where life takes us, the kitchen is where we all come back to.”⁣"
11-02-24 18:30:05,/p/DB4XcdbRxNU/,not sponsored,lifestylem_interiordesign,2024-11-02T19:28:25.000Z,793,6,Fireplace designs are aesthetically more pleasing when the colder seasons come around for some reason! Gotta make them
11-02-24 18:30:13,/p/DB0_ohuCMZ8/,not sponsored,quadro_room,2024-11-01T12:02:38.000Z,635,8,Продолжаем рассказывать о нашем проекте Сити Парк🤍
11-02-24 18:30:20,/p/DB1TKObPsIf/,not sponsored,honeycomb_homedesign,2024-11-01T14:53:15.000Z,60,2,"Butler’s pantry of our dreams! Complete with  backup fridge/freezer, food storage, snack station and secondary prep sink"
11-02-24 18:30:25,Sponsored,birdygrey,no time,"19,233",7,𝗖𝗮𝗹𝗹𝗶𝗻𝗴 𝗔𝗹𝗹 𝗕𝗿𝗶𝗱𝗲𝘀...Get 3 FREE brid,
11-02-24 18:30:31,/p/DB33ml7tfbd/,not sponsored,moorehousedesign,2024-11-02T14:50:14.000Z,362,9,"If you have room to play this holiday season and your budget allows, consider a bespoke home bar that perfectly fits"
11-02-24 18:30:34,/p/DBw2rd-P0Gt/,not sponsored,designmanifest,2024-10-30T21:27:26.000Z,239,34,Please join us in celebrating Emi in her new position as Director of Communications! 💜
11-02-24 18:30:41,/p/DB1TNxmOIea/,not sponsored,houseliftdesign,2024-11-01T14:53:47.000Z,"1,192",23,"You made it to Friday friends! As you get ready to head into the weekend, enjoy this inspirational bathroom beauty from"
11-02-24 18:30:46,/p/DBy7ahJRZAi/,not sponsored,lifestylem_interiordesign,2024-10-31T16:47:17.000Z,"2,283",45,"Don’t shy away from expressive mosaic tiles and patterns. They are a great way to accent a room, if you use them the"
11-02-24 18:30:52,/p/DByvN95vw5C/,not sponsored,interiorplusdesign,2024-10-31T15:00:43.000Z,944,5,Дизайнер Наталья Четверикова (@chet_veri_kova) спроектировала квартиру площадью 250 кв. метров в Краснодарском крае для
11-02-24 18:30:58,/p/C5qzhS8ta2X/liked_by/,Sponsored,no username,no time,"6,558",192,"👗 Define Your Style: Quiz, Discover, Elevate!"
11-02-24 18:31:02,/p/DB4ff1lO42b/,not sponsored,interior.desiign,2024-11-02T20:38:47.000Z,196,no comments,@reverse_archiitecture 
11-02-24 18:31:07,/p/DBwYqjxIl6Y/,not sponsored,sarahstaceyinteriordesign,2024-10-30T17:05:14.000Z,39,4,"This remodel captures our commitment to creating personalized, eclectic spaces that evoke a sense of fulfillment and"
11-02-24 18:31:18,/p/DB1a1UyOhYX/,not sponsored,inspire_me_home_decor,2024-11-01T16:00:19.000Z,"4,305",24,LIVE NOW: Secret Restock🎉 Shop a special collection of restocked decor you’ve been waiting for! These pieces are
11-02-24 18:31:25,/p/DB4QixBsB9a/,not sponsored,mohd_homedesign,2024-11-02T18:28:07.000Z,23,no comments,"With clean lines and purposeful design, each @flos architectural light becomes an integral part of your surroundings,"
11-02-24 18:31:25,/p/DB1ZiroxXv1/,not sponsored,lifestylem_interiordesign,2024-11-01T15:49:02.000Z,"2,105",17,Showcasing you personal style through fabrics and textiles is a great way to bring in charm to your home. Here are some
11-02-24 18:31:32,Sponsored,manychat,no time,"4,763",3,🤯 Discover Manychat's Comment-to-DM Automation: Increase engagement by over 57%! 🔥,
11-02-24 18:31:37,/p/DB3B00nBccm/,not sponsored,interiorplusdesign,2024-11-02T07:00:16.000Z,854,2,"Квартира дизайнера — особый жанр. Казалось бы, здесь автор не ограничен пожеланиям заказчика и может реализовать любые"
11-02-24 18:31:45,/p/DB2ipzMoZR5/,not sponsored,interior.desiign,2024-11-02T02:27:53.000Z,397,2,@reverse_archiitecture 
