time collected,id,sponsored,username,time,likes,comments,description
11-01-24 21:27:41,/p/DB1YSNgp2_y/,not sponsored,elizabethhome,2024-11-01T15:38:02.000Z,no likes,no comments,When a repeat client buys a house out west...
11-01-24 21:27:41,/p/DB16k3TvAeF/,not sponsored,phillymag,2024-11-01T20:37:44.000Z,497,4,The seven-year effort to preserve Crebilly Farm in Chester County has come to a successful conclusion with a dash to the
11-01-24 21:27:41,Sponsored,the_citizenry,no time,no likes,no comments,The Designer Trade Program,
11-01-24 21:27:41,/p/DB1vbtlSByi/,not sponsored,kiplinghouseinteriors,2024-11-01T19:00:52.000Z,325,no comments,The most handsome reading nook for this book lover.
11-01-24 21:27:49,/p/DB04KYaN_Q7/,not sponsored,williamspapadopoulosdesign,2024-11-01T10:57:30.000Z,15,no comments,WPD Q&A // What is one piece of advice you would give to your younger selves when you first started working together? ⁠
11-01-24 21:27:49,/p/DBzrRPyulUD/,not sponsored,homeanddesigndc,2024-10-31T23:45:38.000Z,35,no comments,Celebrating 25 Years of Fine Design⁠
11-01-24 21:27:56,/p/DA3lxGbsVkR/liked_by/,Sponsored,yelp,no time,"1,186",89,"Right now, customers on Yelp are looking for services just like yours! Add your business to Yelp for free and start"
11-01-24 21:28:02,/p/DB1CSwmM0sD/,not sponsored,andrewjhow,2024-11-01T12:25:00.000Z,408,16,"An emergency that happened at my house last night involved the phrase, “I forgot to put Minion charms on my crocs.”"
11-01-24 21:28:08,/p/DBy7ahJRZAi/,not sponsored,lifestylem_interiordesign,2024-10-31T16:47:17.000Z,"1,918",42,"Don’t shy away from expressive mosaic tiles and patterns. They are a great way to accent a room, if you use them the"
11-01-24 21:28:12,/p/DBUL49oIj-D/,not sponsored,s_t_interiordesign,2024-10-19T18:14:48.000Z,4,no comments,White's world ✨#interiordesign #colorpallete #nudecolor #painting #decor #design
11-01-24 21:28:16,Sponsored,usestyle.ai,no time,"556,181",215,Get More Leads Using AI,
11-01-24 21:28:16,/p/DBytgUotSUa/,not sponsored,houseliftdesign,2024-10-31T14:45:48.000Z,"2,525",26,"“No matter where life takes us, the kitchen is where we all come back to.”⁣"
11-01-24 21:28:21,/p/DB1d83gp67H/,not sponsored,lark_design_house,2024-11-01T16:27:33.000Z,14,no comments,We are so excited to be working on initial floor plans for a total renovation in Preston Hollow! This 1950s home has
11-01-24 21:28:27,/p/DB05_UyMaEW/,not sponsored,worldarchitectureinterior,2024-11-01T11:13:19.000Z,"2,645",70,"Happy weekend everyone! #inspo I Your favorites, 1-10? I 🤎"
11-01-24 21:28:31,Sponsored,no username,no time,"2,089",no comments,"Want to renovate your outdated bathroom but don't have time? Our fast, safe & professional remodeling services are",
11-01-24 21:28:35,/p/DBy9JEOsBBm/,not sponsored,housetohomeinteriors,2024-10-31T17:02:24.000Z,22,no comments,"POV: You have been keeping up with House to Home for a while, and now that it is fall and temperatures cool, we spend"
11-01-24 21:28:41,/p/DByw82SpkOi/,not sponsored,quoruminternational,2024-10-31T15:15:51.000Z,23,no comments,"Get ready for @boutiquedesignmag 2024! Discover the latest in lighting, decor, and rugs from Quorum,@oxygenlighting,"
11-01-24 21:28:44,/p/DB0_ohuCMZ8/,not sponsored,quadro_room,2024-11-01T12:02:38.000Z,422,8,Продолжаем рассказывать о нашем проекте Сити Парк🤍
11-01-24 21:28:51,Sponsored,zeely.app,no time,"25,119",20,This is what happened to my business when i let A.I. run my ads on FB and IG,
11-01-24 21:28:56,/p/DBzp6xTu5Vg/,not sponsored,stephaniekrausdesigns,2024-10-31T23:33:39.000Z,175,10,"I wish I had a bedroom as cool 😎 as this one. ☝️ Avalon, NJ. "
11-01-24 21:29:03,/p/DB1ZiroxXv1/,not sponsored,lifestylem_interiordesign,2024-11-01T15:49:02.000Z,"1,131",8,Showcasing you personal style through fabrics and textiles is a great way to bring in charm to your home. Here are some
11-01-24 21:29:06,/p/DBnlDWBv-_n/,not sponsored,interiorplusdesign,2024-10-27T07:00:14.000Z,778,2,"Команда бюро Planka (@planka.buro) долго колдовала на дизайном квартиры 42 кв. метра, чтобы получить, как говорят сами"
11-01-24 21:29:09,Sponsored,denver_modern,no time,"8,610",2,"✨The Vail Stool in Sunflower Leather remains a beloved choice for many. Crafted from the finest Italian leather, each",
11-01-24 21:29:09,/p/DB16TAUJ1gP/,not sponsored,donghia_inc,2024-11-01T20:35:15.000Z,2,no comments,"Sleek and sophisticated, these stools in Tilt Velvet add effortless allure. "
11-01-24 21:29:14,/p/DBWb2RCMJhr/,not sponsored,interior.desiign,2024-10-20T15:12:43.000Z,"1,290",8,Livingroom Variations
11-01-24 21:29:20,/p/DB08Pa7OgLq/,not sponsored,prudencehomeanddesign,2024-11-01T11:32:59.000Z,96,10,I love big blooms and I can not lie! 
11-01-24 21:29:24,/p/C4bRezfgDXh/liked_by/,Sponsored,cb2,no time,707,17,"Trade Members enjoy 20% off (every time, and never a minimum spend), insider access, dedicated service and so much more."
11-01-24 21:29:31,/p/DB1TNxmOIea/,not sponsored,houseliftdesign,2024-11-01T14:53:47.000Z,831,17,"You made it to Friday friends! As you get ready to head into the weekend, enjoy this inspirational bathroom beauty from"
11-01-24 21:29:36,/p/DB2ENqTTMc7/,not sponsored,blisshomeanddesign,2024-11-01T22:01:54.000Z,no likes,no comments,"We love adding soft, feminine elements to transform a bedroom into a sanctuary. From embroidered pillows to floral wall"
11-01-24 21:29:41,/p/DBYBcWRiijL/,not sponsored,interiorplusdesign,2024-10-21T06:00:28.000Z,641,2,"Надежда Жученко и Юлия Шеверева, студия Yummi Interior (@yummy.interior), спроектировали интерьер дома в коттеджном"
11-01-24 21:29:57,/p/DAlC4-psL1P/liked_by/,Sponsored,modlightingshop,no time,4,no comments,The Wall Light That Sold Out 4x Last Year
11-01-24 21:30:01,/p/DBkMwptIk8Z/,not sponsored,homeanddesigndc,2024-10-25T23:30:19.000Z,47,2,"""It was a real find,” enthuses Julie Geyer of @juliegstudio, referring to a spacious, 100-year-old Capitol Hill row"
11-01-24 21:30:01,/p/DBz-Ck_ocRd/,not sponsored,interior.desiign,2024-11-01T02:29:28.000Z,617,5,@reverse_archiitecture 
11-01-24 21:30:08,/p/DB2WRqiSaii/,not sponsored,mymodern.interior,2024-11-02T00:39:44.000Z,23,4,@AngelaWellsInteriorDesign brings elegance to life with the “She Wears Brunello Cucinelli” project—a perfect harmony of
11-01-24 21:30:12,/p/DBzg7McuQB0/,not sponsored,moorehousedesign,2024-10-31T22:15:13.000Z,46,3,"In the spirit of this spooky season, @housebeautiful has just released ""Whimsigoth: The Witchy Trend of the"
11-01-24 21:30:17,/p/C7zZNu9g-kZ/liked_by/,Sponsored,eversourceenergy,no time,12,no comments,We can help cut costs without sacrificing comfort with rebates on heat pump technology.
11-01-24 21:30:24,/p/DBysKLspSBW/,not sponsored,sarahstaceyinteriordesign,2024-10-31T14:33:59.000Z,69,9,"Happy Halloween from Sarah Stacey Interior Design (and Ernie, our clients’ most loyal guest!) He made himself at home in"
11-01-24 21:30:28,/p/DB0dDRdsb3D/,not sponsored,interiorplusdesign,2024-11-01T07:00:27.000Z,488,no comments,Квартира площадью 160 кв. метров расположена на восьмом этаже ЖК Bauman House на берегу реки Яузы. Дизайнер Екатерина
11-01-24 21:30:34,/p/DB1WDyVPPTx/,not sponsored,designmanifest,2024-11-01T15:18:36.000Z,271,35,Congratulations are in order for our Kristy!
11-01-24 21:30:45,/p/DBO1v1JMh6t/,not sponsored,interior.desiign,2024-10-17T16:25:06.000Z,600,3,"Project of the Week: Casa Cono, designed by @estudio_atemporal for a young couple, offers a space for living, working,"
11-01-24 21:30:45,/p/DB1TKObPsIf/,not sponsored,honeycomb_homedesign,2024-11-01T14:53:15.000Z,50,2,"Butler’s pantry of our dreams! Complete with  backup fridge/freezer, food storage, snack station and secondary prep sink"
11-01-24 21:30:52,/p/DBHMhUxAf4Z/liked_by/,Sponsored,potterybarn,no time,681,no comments,Registry Favorites
11-01-24 21:30:59,/p/DBzfQ2iyhmx/,not sponsored,andrewjhow,2024-10-31T22:00:32.000Z,507,26,"From left to right facing… A Minion, A high school substitute teacher who calls most students, “Sigmas,” has mastered"
11-01-24 21:31:02,/p/DB1AA_zvM5h/,not sponsored,pulpdesigns,2024-11-01T12:05:00.000Z,105,12,We love our clients that we work with over time on new projects and new layers… this Dining Room is still developing
11-01-24 21:31:06,/p/DB1RQ8SsRxv/,not sponsored,interior.desiign,2024-11-01T14:36:42.000Z,344,no comments,• @reverse_archiitecture 
11-01-24 21:31:13,/p/DB105O6pASk/,not sponsored,ninashomedesign,2024-11-01T19:48:02.000Z,no likes,no comments,"Pleased to be featured in Homes and Gardens Magazine discussing Kyle Richards’ timeless gray marble bathroom, which"
11-01-24 21:31:16,/p/DB0ENGZO0ih/,not sponsored,houseofhuck,2024-11-01T03:23:20.000Z,67,6,A series : shoes.
11-01-24 21:31:34,Sponsored,birdygrey,no time,"18,321",7,𝗖𝗮𝗹𝗹𝗶𝗻𝗴 𝗔𝗹𝗹 𝗕𝗿𝗶𝗱𝗲𝘀...Get 3 FREE brid,
11-01-24 21:31:34,/p/DB1a94LuQiX/,not sponsored,homeanddesigndc,2024-11-01T16:01:31.000Z,11,no comments,@brusharborhomes designs and builds custom and spec homes as well as large-scale renovations in a wide variety of styles
11-01-24 21:31:41,/p/DB1V42AxaYc/,not sponsored,interiorplusdesign,2024-11-01T15:17:06.000Z,169,2,"Принято думать, что в доме коллекционера арт главенствует, а интерьер выступает лишь фоном. Но проект Кирилла Истомина"
11-01-24 21:31:46,/p/DB1a1UyOhYX/,not sponsored,inspire_me_home_decor,2024-11-01T16:00:19.000Z,"2,761",19,LIVE NOW: Secret Restock🎉 Shop a special collection of restocked decor you’ve been waiting for! These pieces are
11-01-24 21:31:54,/p/DBymqIyJyCK/,not sponsored,lark_design_house,2024-10-31T13:32:34.000Z,20,no comments,Had so much fun this past week at High Point!🤗
11-01-24 21:31:57,/p/DAWsBeOgkw5/liked_by/,Sponsored,ebanista,no time,11,no comments,Crystal Cove Villa | Shop The Collection
