time collected,id,sponsored,username,time,likes,comments,description
11-01-24 02:03:33,/p/DBy0HXhOgdZ/,not sponsored,frictionaddictionclimbing,2024-10-31T15:43:57.000Z,45,no comments,The biggest macros in the game from @rockcityclimbingholds mixed in with some Biotes
11-01-24 02:03:33,/p/C2Lf7KuADil/liked_by/,Sponsored,garminoutdoor,no time,999,22,Solar charging
11-01-24 02:03:33,/p/DB1ONpeMIZV/,not sponsored,vangraces,2024-11-01T02:24:25.000Z,319,4,more of life and the places and people and creatures i love
11-01-24 02:03:33,/p/DBzE_QStmrp/,not sponsored,banana___hana,2024-10-31T18:10:57.000Z,327,5,Jumping and dancing into one month of holidays 🤩 
11-01-24 02:03:36,/p/DByR2HdOJPT/,not sponsored,_climbinggirl_,2024-10-31T10:44:03.000Z,"1,010",15,Этот проект занимает для меня особое место. 
11-01-24 02:03:43,Sponsored,kayjewelers,no time,"4,712",no comments,BLACK FRIDAY KICK-OFF,
11-01-24 02:03:43,/p/DByl5_yORlF/,not sponsored,theclimbingzine,2024-10-31T13:39:21.000Z,211,no comments,The ancestors who scaled these cliffs would likely be perplexed by our pursuit of climbing for recreation and not out of
11-01-24 02:03:48,/p/DBzIA1bNyoX/,not sponsored,alexhonnold,2024-10-31T18:37:22.000Z,"20,373",46,I got to do a new link up in Red Rock with my great friend @joshkmccoy! At least I’m pretty sure it’s new - we did a
11-01-24 02:03:56,/p/DBy5Af0Jpdf/,not sponsored,latticetraining,2024-10-31T16:26:17.000Z,399,no comments,HAPPY HALLOWEEN! 🎃⁣
11-01-24 02:03:59,Sponsored,verizon,no time,"143,302",9,Save on iPhone 15. No trade-in required. With new line on myPlan.,
11-01-24 02:04:07,/p/DBy9u6iIBfl/,not sponsored,ukclimbing,2024-10-31T17:07:33.000Z,"1,225",7,"Boulder Spotlight: Art of Japan (6C), Curbar Edge 📍"
11-01-24 02:04:14,/p/DBeSuRPtX0t/,not sponsored,banana___hana,2024-10-23T16:26:54.000Z,381,11,Share your recommendations for routes please 🥰
11-01-24 02:04:22,/p/DBzYg1Rz_PJ/,not sponsored,itsaddileeg,2024-10-31T21:01:33.000Z,39,no comments,no costume will ever top 2021’s
11-01-24 02:04:29,/p/C_OkH87sZws/liked_by/,Sponsored,photoshop,no time,372,37,Text to Image. Now in Photoshop.
11-01-24 02:04:37,/p/DBwLWlaOIPs/,not sponsored,climbwithavi,2024-10-30T15:08:50.000Z,505,5,"I wish I had endless pictures of super beautiful hikes in my phone that I could share with y’all, but alas I only have a"
11-01-24 02:04:37,/p/DBy-Re0J08o/,not sponsored,rockmillclimbing,2024-10-31T17:12:16.000Z,25,no comments,"This summer, longtime adventure partners & Team Rock Mill coaches Monty Fuss and Jake Sexton broke the world record on"
11-01-24 02:04:50,/p/DB0EG-BzcDQ/,not sponsored,climbingir,2024-11-01T03:22:30.000Z,20,no comments,"@alessandro_santoni Hey, please gift me this 😁🙏🏼."
11-01-24 02:04:56,Sponsored,no username,no time,"19,778",17,🚀 Boost Your Instagram Presence with PathSocial.io! 🚀,
11-01-24 02:05:01,/p/DByIJMctNrr/,not sponsored,ifsclimbing,2024-10-31T09:19:17.000Z,"3,319",12,From China 🇨🇳 to Italy 🇮🇹 the Climbing and Para Climbing World Cup visited some great places and venues this year. Add
11-01-24 02:05:08,/p/DBrAw33sKb1/,not sponsored,latticetraining,2024-10-28T15:00:08.000Z,793,3,We often hear climbers say that you can’t train strength and endurance alongside each other. ⁣
11-01-24 02:05:18,/p/DBzD2AiR0-w/,not sponsored,rockclimbingcoach,2024-10-31T18:46:41.000Z,275,6,Climbing myths busted.
11-01-24 02:05:24,/p/C5T5UZ7t67s/liked_by/,Sponsored,hubspot,no time,"3,041",33,Our Instagram cheat sheet.
11-01-24 02:05:24,/p/DBkOX7IvaIj/,not sponsored,rockmillclimbing,2024-10-25T23:44:21.000Z,149,2,Take this weekend to get your costume ready for the Rock Mill Halloween party! 💀 We’ll be playing spooky movies and
11-01-24 02:05:32,/p/DBy42lIytiA/,not sponsored,rock_climbing88,2024-10-31T16:24:54.000Z,2,no comments,➡️Click the link in our bio @rock_climbing88 to visit our store.
11-01-24 02:05:37,/p/DBroDC0y5_L/,not sponsored,theclimbingzine,2024-10-28T20:43:22.000Z,189,no comments,"Though it happened slowly, I had found all I was truly looking for in life by discovering rock climbing, the places it"
11-01-24 02:05:42,/p/DBJ8WCcsHXl/liked_by/,Sponsored,talkspace,no time,47,no comments,"What's in my bag, but make it mental health. With Talkspace your therapist is always by your side, so you can send a"
11-01-24 02:05:42,/p/DBy1dH8t9qo/,not sponsored,cheetaholds,2024-10-31T15:55:46.000Z,347,no comments,"Combine all our ranges of holds, volumes and hybrids for fine-tuning of perfect climbing sequences! "
11-01-24 02:05:51,/p/DBy4K_Rt5IU/,not sponsored,climb_lover,2024-10-31T16:19:26.000Z,885,5,Why use arms when you can use LEGS😈 Follow us @climb_lover 🧗🏻 
11-01-24 02:05:57,/p/DBzS_dSyeAZ/,not sponsored,cornerstoneclimbing,2024-10-31T20:13:18.000Z,21,no comments,"Introducing the Akros! From crimps to sloping jugs and more in the works, this line will have it all! Ergonomic,"
11-01-24 02:05:57,/p/C66U3Dmt4Lv/liked_by/,Sponsored,chumba.casino,no time,15,no comments,Introducing 100K Coins Scratchcard 🎉
11-01-24 02:06:04,/p/DBy6kg-u7aX/,not sponsored,kenzclimbz,2024-10-31T16:40:30.000Z,15,2,Happy Halloweeeeenie 🕷️🕸️
11-01-24 02:06:09,/p/DBzE7CHRW6A/,not sponsored,vincesclimbingacc,2024-10-31T18:15:05.000Z,18,5,Really happy to get this one! 1 more on mañana to go. Took about 5-6 attempts
11-01-24 02:06:12,/p/DB0Jc4xx_-P/,not sponsored,yogaonthewall,2024-11-01T04:11:05.000Z,no likes,no comments,Happy Halloween! 🎃
11-01-24 02:06:19,/p/DBy9Na1tT0k/,not sponsored,holdbreaker,2024-10-31T17:16:09.000Z,231,3,"** siri send all calls to voicemail, we’re busy 🧗‍♀️💅🏽@"
11-01-24 02:06:24,Sponsored,no username,no time,"60,452",73,Those who suffered sexual abuse by staff at a Massachusetts boarding school while under 18 may be eligible for,
11-01-24 02:06:30,/p/DBzBRCggPVe/,not sponsored,climb_lover,2024-10-31T17:42:56.000Z,809,no comments,Soo much control! Follow us @climb_lover 🧗🏻.
11-01-24 02:06:37,/p/DBzUdrWNJbL/,not sponsored,dinosaauuur,2024-10-31T20:31:35.000Z,78,no comments,Thinking of good times on rock in Austria. “Meilenstein” 7a which felt a lot harder than 7a 😂
11-01-24 02:06:43,/p/DByw2uWtfpD/,not sponsored,redbullaustria,2024-10-31T15:19:50.000Z,"1,847",6,Level 1 Qualification: check ✅
