id,sponsored,username,time,likes,comments
/p/DBr3vQ9NKeH/,not sponsored,climbingmagazine,2024-10-28T23:00:30.000Z,"6,593",83
/p/DByR2HdOJPT/,not sponsored,_climbinggirl_,2024-10-31T10:44:03.000Z,558,10
/p/DBt9t2_SDbp/,not sponsored,vangraces,2024-10-29T18:31:12.000Z,"2,140",37
/p/DByl5_yORlF/,not sponsored,theclimbingzine,2024-10-31T13:39:21.000Z,45,no comments
/p/DBRROn6NIIf/,not sponsored,banana___hana,2024-10-18T15:03:43.000Z,346,no comments
/p/DBe_wdzs4uc/,not sponsored,climbingmagazine,2024-10-23T23:00:28.000Z,"4,926",35
/p/DBZeHaUy7k6/,not sponsored,toprockclimbing,2024-10-21T19:30:15.000Z,103,no comments
/p/DBbZuMkK3ta/,not sponsored,rockmillclimbing,2024-10-22T13:30:21.000Z,106,no comments
/p/DBbkGTWu-b9/,not sponsored,climbingmagazine,2024-10-22T15:01:03.000Z,"8,164",211
/p/DBrFdPmtnvE/,not sponsored,hazel_findlay,2024-10-28T15:41:07.000Z,109,no comments
/p/DBwEoYOSuyE/,not sponsored,vangraces,2024-10-30T14:10:00.000Z,853,13
/p/DByIJMctNrr/,not sponsored,ifsclimbing,2024-10-31T09:19:17.000Z,"2,216",8
/p/DBtxYt0I1FA/,not sponsored,ukclimbing,2024-10-29T16:43:27.000Z,"1,917",7
/p/DBwLWlaOIPs/,not sponsored,climbwithavi,2024-10-30T15:08:50.000Z,436,5
/p/DBn5JkytB3y/,not sponsored,annineff,2024-10-27T09:55:51.000Z,"2,020",112
/p/DBNF2YoS6JX/,not sponsored,epsets_,2024-10-17T00:07:20.000Z,288,22
/p/DBwKeq0xlNI/,not sponsored,climbingmagazine,2024-10-30T15:01:15.000Z,"1,489",9
/p/DBeSuRPtX0t/,not sponsored,banana___hana,2024-10-23T16:26:54.000Z,380,11
/p/DBRstFYyg4q/,not sponsored,toprockclimbing,2024-10-18T19:03:49.000Z,53,no comments
/p/DBdmgS4sDcF/,not sponsored,ausclimbing,2024-10-23T10:00:32.000Z,72,no comments
/p/DBbmsYxN_On/,not sponsored,aidan.roberts98,2024-10-22T15:23:42.000Z,"7,147",10
/p/DBkJWvHyNe3/,not sponsored,climbingmagazine,2024-10-25T23:01:44.000Z,"5,899",69
/p/DBySApZSkA-/,not sponsored,rock_climbing88,2024-10-31T10:46:25.000Z,188,no comments
/p/DBtuewmuHvn/,not sponsored,theclimbingzine,2024-10-29T16:18:04.000Z,262,no comments
/p/DBkOX7IvaIj/,not sponsored,rockmillclimbing,2024-10-25T23:44:21.000Z,148,2
/p/DBxIuVMz9Z9/,not sponsored,climbingir,2024-10-31T00:05:06.000Z,47,no comments
/p/DBmuHxmuJjy/,not sponsored,climbingmagazine,2024-10-26T23:00:17.000Z,"1,255",no comments
/p/DBrMjBloVDQ/,not sponsored,ukclimbing,2024-10-28T16:43:04.000Z,"2,017",6
/p/DBvkq_jtnpx/,not sponsored,stefanbrunner.at,2024-10-30T09:36:45.000Z,284,4
/p/DBZ4HlRyok6/,not sponsored,theclimbingzine,2024-10-21T23:17:28.000Z,527,3
/p/DBrAw33sKb1/,not sponsored,latticetraining,2024-10-28T15:00:08.000Z,787,2
/p/DBjocABzjk9/,not sponsored,climbingir,2024-10-25T18:12:51.000Z,48,no comments
/p/DBQ4UEGy3We/,not sponsored,satone_yoshida,2024-10-18T11:26:01.000Z,912,8
/p/DBRfwiboGtD/,not sponsored,moonclimbing,2024-10-18T17:10:00.000Z,736,2
/p/DBoYllHMvu9/,not sponsored,gq,2024-10-27T15:00:28.000Z,"4,371",10
/p/DBXBjHxSF3y/,not sponsored,centralrockframingham,2024-10-20T20:42:09.000Z,18,no comments
/p/DBrU4ulyYDc/,not sponsored,itsaddileeg,2024-10-28T17:55:56.000Z,63,no comments
/p/DBtC53rN8Zz/,not sponsored,jorge.diazrullo,2024-10-29T09:57:17.000Z,"2,667",9
/p/DBJ4Ka9yGP3/,not sponsored,theclimbingzine,2024-10-15T18:10:01.000Z,155,6
/p/DBwHV7NSTzT/,not sponsored,rock_climbing88,2024-10-30T14:33:48.000Z,10,no comments
/p/DA_lmKiyRTs/,not sponsored,alexhonnold,2024-10-11T18:15:22.000Z,"2,355",21
/p/DBoyT0rOFJo/,not sponsored,lesfreresmawemofficiel,2024-10-27T18:17:46.000Z,"1,619",no comments
/p/DBja0zFSih4/,not sponsored,rock_climbing88,2024-10-25T16:13:54.000Z,29,no comments
/p/DBUNulNyUKJ/,not sponsored,guestsetter,2024-10-19T18:30:51.000Z,220,3
/p/DBohNypOqSu/,not sponsored,kenzclimbz,2024-10-27T15:47:19.000Z,25,3
/p/DByLTKWNeia/,not sponsored,jorge.diazrullo,2024-10-31T09:47:31.000Z,923,4
/p/DByk1-kK-gU/,not sponsored,climbingir,2024-10-31T13:30:59.000Z,22,no comments
/p/DBySbifyUzD/,not sponsored,rock_climbing88,2024-10-31T10:49:45.000Z,82,no comments
/p/DBrQryaOCGG/,not sponsored,thenorthface,2024-10-28T17:19:13.000Z,"9,563",21
/p/DBj_3CRtdyL/,not sponsored,madrockclimbing,2024-10-25T21:47:59.000Z,336,9
/p/DBjZKTrtH-A/,not sponsored,holdbreaker,2024-10-25T15:59:22.000Z,125,5
/p/DBdfl3RMcV0/,not sponsored,latticetraining,2024-10-23T09:00:09.000Z,275,2
/p/DBg-IfZyd4W/,not sponsored,rock_climbing88,2024-10-24T17:24:43.000Z,19,no comments
/p/DBrG4q9NC28/,not sponsored,banana___hana,2024-10-28T15:59:16.000Z,199,no comments
/p/DBrBljpu5HS/,not sponsored,bscorpiio,2024-10-28T15:12:10.000Z,188,6
/p/DBePgEDttoY/,not sponsored,holdbreaker,2024-10-23T15:58:45.000Z,96,no comments
/p/DBlkTH6tTSG/,not sponsored,suprclimbing,2024-10-26T12:17:50.000Z,169,no comments
/p/DBrDH9NIJF2/,not sponsored,moonclimbing,2024-10-28T15:20:00.000Z,694,no comments
/p/DBj9-MQtPHW/,not sponsored,cobloc_official,2024-10-25T21:26:28.000Z,51,no comments
/p/DBuOn6kzewp/,not sponsored,climbingir,2024-10-29T20:58:56.000Z,68,no comments
/p/DByfUqnviO7/,not sponsored,rockclimb.ing,2024-10-31T12:42:25.000Z,66,2
/p/DBce2JlSKJr/,not sponsored,theclimbingzine,2024-10-22T23:34:22.000Z,240,no comments
/p/DBtqgnBv5lr/,not sponsored,gearoutside,2024-10-29T15:44:47.000Z,468,14
/p/DBI64ZmS7u8/,not sponsored,satone_yoshida,2024-10-15T09:14:31.000Z,"1,159",7
/p/DBk1n-8SFel/,not sponsored,oceana_climbing,2024-10-26T05:27:56.000Z,484,4
/p/DBpS6Z-tjY7/,not sponsored,climbingmagazine,2024-10-27T23:00:14.000Z,490,7
/p/DBJsyXGIUFn/,not sponsored,moonclimbing,2024-10-17T16:30:00.000Z,493,no comments
/p/DBpCLhNzSce/,not sponsored,climbingir,2024-10-27T20:34:00.000Z,132,no comments
/p/DBj_MBWuJ0r/,not sponsored,kenzclimbz,2024-10-25T21:32:20.000Z,18,no comments
/p/DBvqJ_IKt8E/,not sponsored,climbingir,2024-10-30T10:19:39.000Z,45,no comments
/p/DBuoR87P6DL/,not sponsored,rockspotclimbing,2024-10-30T00:53:42.000Z,10,no comments
/p/DBjZlavOmAo/,not sponsored,theclimbingzine,2024-10-25T16:03:04.000Z,112,no comments
/p/DBl_heMvoMJ/,not sponsored,itsaddileeg,2024-10-26T16:15:40.000Z,22,no comments
/p/DBl2S9dStCe/,not sponsored,rock_climbing88,2024-10-26T14:52:26.000Z,38,no comments
/p/DBlR71mu2m0/,not sponsored,ukclimbing,2024-10-26T09:34:42.000Z,693,4
/p/DBiqWFMI2nH/,not sponsored,climb_crazy,2024-10-25T09:19:45.000Z,129,3
/p/DBl4hULOIod/,not sponsored,kenzclimbz,2024-10-26T15:12:37.000Z,19,no comments
/p/DBroDC0y5_L/,not sponsored,theclimbingzine,2024-10-28T20:43:22.000Z,182,no comments
/p/DBtu4FBPj0t/,not sponsored,itsaddileeg,2024-10-29T16:23:11.000Z,126,2
/p/DBonepXPmFv/,not sponsored,holdbreaker,2024-10-27T17:00:14.000Z,194,no comments
/p/C__BeTctXcM/,not sponsored,erinmcbeast,2024-09-16T16:35:25.000Z,"31,564",91
/p/C-niLneImLu/,not sponsored,mejdi_schalck,2024-08-13T17:00:00.000Z,"36,811",71
/p/DAoKsFLuBgG/,not sponsored,rockclimb_only,2024-10-02T16:03:36.000Z,"17,669",50
/p/DAi6f__N0_h/,not sponsored,rungne_official,2024-09-30T15:16:03.000Z,"20,635",69
/p/DAsQCjGSu6O/,not sponsored,afrahoenig,2024-10-04T06:01:57.000Z,"25,950",64
/p/DBcHgn4SNX6/,not sponsored,frictionlabs,2024-10-22T20:11:32.000Z,"5,766",23
/p/DA3q7FxSjp5/,not sponsored,threedimensionalpuzzles,2024-10-08T16:30:29.000Z,"11,921",67
/p/DBEsOquN3f2/,not sponsored,c.de.beaux_,2024-10-13T17:59:20.000Z,"3,664",15
/p/DBBEJxuNckI/,not sponsored,will_bosi,2024-10-12T08:02:35.000Z,"13,829",48
/p/DA5v8xNyAf-/,not sponsored,crazy.ryoma,2024-10-09T12:03:39.000Z,"8,742",48
/p/DAUSEMmSCc2/,not sponsored,boulderlicious_q,2024-09-24T22:38:17.000Z,"5,760",138
/p/DBbvmMjNSC_/,not sponsored,emil_abrahamsson_,2024-10-22T16:49:40.000Z,"20,962",120
/p/DAtpuUiyqJu/,not sponsored,zigzagclimbing,2024-10-04T19:13:26.000Z,"27,030",136
/p/DAOl32_SD0V/,not sponsored,oliverkuang_,2024-09-22T17:37:38.000Z,"130,066",546
/p/DBu3txKIzgF/,not sponsored,camilla.moroni,2024-10-30T02:58:00.000Z,"3,085",18
/p/C_tw5q3SuNm/,not sponsored,gumbeezzzclimbing,2024-09-09T23:37:01.000Z,"4,819",28
/p/DBHAf7eOiim/,not sponsored,rageclimbing,2024-10-14T15:26:20.000Z,"11,367",48
/p/C_nepzJyzON/,not sponsored,koba_syunske,2024-09-07T13:13:30.000Z,"50,901",260
/p/DBKfms6ypcN/,not sponsored,bomberboulders,2024-10-15T23:56:25.000Z,"10,602",22
/p/DAOga4RNK2x/,not sponsored,melissaleneve,2024-09-22T16:54:54.000Z,"4,570",55
/p/DA4VX6-NFoe/,not sponsored,oliver_tippett,2024-10-08T22:45:53.000Z,"4,442",27
/p/DBvqcEoNOdN/,not sponsored,nomura_shinichiro,2024-10-30T10:21:14.000Z,"1,947",8
/p/DBntS2HNuVm/,not sponsored,nomura_shinichiro,2024-10-27T08:12:16.000Z,"3,501",9
/p/DBrCRgbPysf/,not sponsored,laraneumeier,2024-10-28T15:13:18.000Z,815,17
/p/DAqsf4JPjj4/,not sponsored,arizona_aaron,2024-10-03T15:46:12.000Z,"188,441",781
/p/DBG2_SStjUP/,not sponsored,kirstypardede,2024-10-14T14:04:37.000Z,"3,681",100
/p/DBKXr5aybO7/,not sponsored,jlngns,2024-10-15T22:59:38.000Z,"49,128",229
/p/DBWm3-myPFl/,not sponsored,adam.shahar113,2024-10-20T16:49:04.000Z,"1,644",27
/p/DBf-yPMNrpz/,not sponsored,sergey_luzhetsky,2024-10-24T08:11:10.000Z,"1,010",12
/p/DBLcqCtynrD/,not sponsored,yuki_hiroshige,2024-10-16T08:48:09.000Z,"3,088",9
/p/DBWFacSSE0O/,not sponsored,leedo_ss,2024-10-20T11:56:41.000Z,"5,854",17
/p/DBXAzMzNBfP/,not sponsored,jessica_sakura_climbs,2024-10-20T20:35:37.000Z,392,8
/p/DBufAN_yuqa/,not sponsored,dangerbean_55,2024-10-29T23:22:58.000Z,"999,706","2,956"
/p/DBKm5ToSB1i/,not sponsored,failfalling,2024-10-16T00:58:22.000Z,"1,850",20
/p/DBtouf8vP-Q/,not sponsored,hownot_2,2024-10-29T15:27:47.000Z,"1,697",6
/p/DA1tam2qk7n/,not sponsored,toastyhoody,2024-10-07T22:11:35.000Z,"1,651,731","1,404"
/p/DBiSHFkNzJL/,not sponsored,ryu____1,2024-10-25T05:38:31.000Z,"7,766",32
/p/DBHNrQhoA60/,not sponsored,ashandrosee,2024-10-14T17:23:53.000Z,"3,580",no comments
/p/DBA46wiSwTr/,not sponsored,sohta_amagasa,2024-10-12T06:23:27.000Z,"7,630",27
