time collected,id,sponsored,username,time,likes,comments,description
11-01-24 23:52:49,/p/DB2K5VgMhMg/,not sponsored,climbingmagazine,2024-11-01T23:00:20.000Z,"1,428",86,Warning: This post discusses sexual violence. 
11-01-24 23:52:49,/p/DB2MCYKSRZ1/,not sponsored,toprockclimbing,2024-11-01T23:10:16.000Z,26,no comments,Have you registered your kids for our 2024 YOUTH SCRAMBLE yet??
11-01-24 23:52:49,Sponsored,doritos,no time,"1,000",no comments,"Bold, cheesy, flavorful goodness makes Doritos Nacho Cheese THAT chip.",
11-01-24 23:52:49,/p/DB0sb1QSqae/,not sponsored,satone_yoshida,2024-11-01T09:14:52.000Z,"1,405",2,Mono pocket🖕🖕 for rock season🪨Tw
11-01-24 23:52:54,/p/DB1twL8tixq/,not sponsored,alexhonnold,2024-11-01T18:45:38.000Z,"1,172",21,Ben Mayforth’s strength is a sight to behold. The professional paraclimber’s social clips of campusing double digit
11-01-24 23:53:01,/p/DB1ZwSsO0qN/,not sponsored,mellowclimbing,2024-11-01T15:50:53.000Z,"3,230",38,OUT NOW: Felipe Ho - Joker (V14/8B+) First Ascent
11-01-24 23:53:01,Sponsored,avery,no time,473,no comments,Holiday labels helps make your brand celebrate the season in style!,
11-01-24 23:53:04,/p/DByl5_yORlF/,not sponsored,theclimbingzine,2024-10-31T13:39:21.000Z,250,no comments,The ancestors who scaled these cliffs would likely be perplexed by our pursuit of climbing for recreation and not out of
11-01-24 23:53:11,/p/DB2G0TpMBoJ/,not sponsored,rowan_boulders,2024-11-01T22:25:35.000Z,17,2,steezy😮‍💨
11-01-24 23:53:18,/p/DB2BEtpSH68/,not sponsored,kenzclimbz,2024-11-01T21:38:21.000Z,26,18,"I’ll be riding the high of this V6 the rest of the weeeeekend! Super psyched to get my first mañana 6, officially a tank"
11-01-24 23:53:26,/p/DBPV2BMADaH/comments/,Sponsored,seanyourmattressguy,no time,"5,220",no comments,"We’ve got great deals on Mattresses, Adjustable bed frames, bedroom sets and more!! UnBox the Savings, only at BoxDrop!"
11-01-24 23:53:32,/p/DB2FRIcMiOc/,not sponsored,rowan_boulders,2024-11-01T22:13:51.000Z,22,2,anti style flash😻
11-01-24 23:53:36,/p/DB2S8KaP6Cv/,not sponsored,jatco_climbs,2024-11-02T00:11:02.000Z,no likes,no comments,Speakeasy v5 
11-01-24 23:53:50,/p/DBy4crMuwj0/,not sponsored,connectiveclimbing,2024-10-31T16:22:07.000Z,"1,610",4,Here’s four tips to do a successful bat-hang from @frictionlabs. They did a great job breaking down the details on how
11-01-24 23:53:57,/p/DAhxA82O8NK/,not sponsored,urbanrecluse,2024-09-30T04:21:18.000Z,"17,958",124,We had fun with this today! Use code LILY05547 for 10% off Magdust on rungne.com!
11-01-24 23:54:01,Sponsored,mcdonalds,no time,"34,570",5,la Chicken Big Mac… no es que no sea una Big Mac. pruébala ahora,
11-01-24 23:54:01,/p/DB05TFzyNEv/,not sponsored,youstagrum,2024-11-01T11:07:17.000Z,769,2,.
11-01-24 23:54:06,/p/DB1EYyLoPmA/,not sponsored,paulcocksedge,2024-11-01T12:47:00.000Z,"22,574",223,‘SHADE’ LIGHT 💡 
11-01-24 23:54:13,/p/C_LnDPEu9mm/,not sponsored,happening_adventures,2024-08-27T17:17:27.000Z,"10,722",65,The lasso figure 8! No real purpose but a super fun party trick. Here’s a short tutorial for you all!
11-01-24 23:54:21,/p/DACSA4Cyohb/,not sponsored,gabbygoesup,2024-09-17T22:53:44.000Z,"2,039",4,“Keep your arms straight” and “keep your hips close to the wall” are common climbing tips that are thrown around to new
11-01-24 23:54:27,/p/DBtjk0Jsa4M/comments/,Sponsored,wendys,no time,"3,909",no comments,"Ajá, no estás soñando. El Wendy’s Krabby Patty Kollab Meal llegó a Wendy’s. ¿Están listos? @Nickelodeon @Paramount+"
11-01-24 23:54:35,/p/DBJjBAPonzs/,not sponsored,shaunacoxsey,2024-10-15T15:16:01.000Z,"10,112",44,Baby girls first board moves!! Frankie has been trying to do moves on this board for about 6 months!! 
11-01-24 23:54:38,/p/DB0WIZ6trmU/,not sponsored,ryu____1,2024-11-01T05:59:59.000Z,"4,378",16,Alphane 9A #Session3&4
11-01-24 23:54:46,/p/DBzlrOQS5x-/,not sponsored,bucketlistboston,2024-10-31T22:58:39.000Z,"16,374",66,#2080 run don’t walk to myrtle street in beacon hill RIGHT NOW 🥳🍭🍿 they took the circus theme to a different level & it
11-01-24 23:54:46,/p/DBTDMvPITMe/,not sponsored,cozyclimb,2024-10-19T07:44:26.000Z,"3,983",6,When there’s a Climb stuck in your head because you just need to finish it and get the send. So you start doing every
11-01-24 23:54:49,/p/DAojWGTsGCD/liked_by/,Sponsored,officialmassdph,no time,9,no comments,Are you up to date with your seasonal vaccines? Find a location near you.
11-01-24 23:54:55,/p/DAzwr0USIM_/,not sponsored,patsupak,2024-10-07T04:03:44.000Z,"3,917",26,Last hold is a jug = #trustissues 🫠
11-01-24 23:55:01,/p/C-5tMr_yhuD/,not sponsored,savvyfish,2024-08-20T18:23:52.000Z,"18,569",64,Not me thinking we can always dodge the rain 😂
11-01-24 23:55:07,/p/DByLO_vRWD5/,not sponsored,tennischannel,2024-10-31T09:48:54.000Z,"15,216",83,Could watch these two all day 😤
11-01-24 23:55:10,/p/C_f3Wr9Oa9x/,not sponsored,thelonesol,2024-09-04T14:04:35.000Z,"11,470",71,solo vanlife 🤝🏻 solo bouldering…
11-01-24 23:55:15,Sponsored,mikesievert,no time,"514,729",45,@TMobile’s Project 10Million is our initiative to help bridge the digital divide by providing the connectivity students,
11-01-24 23:55:19,/p/C-z8ehByoBL/,not sponsored,strong_kibeom,2024-08-18T12:45:32.000Z,"15,606",51,Easy boulder🤩
11-01-24 23:55:19,/p/DBeKw-9thrQ/,not sponsored,roxana_wienand,2024-10-23T15:20:31.000Z,"3,953",26,Swinging around the edge 😊
11-01-24 23:55:24,/p/DAlLNOzuoNk/,not sponsored,dyno.saurs,2024-10-01T12:05:34.000Z,"12,678",29,Try these out!
11-01-24 23:55:27,Sponsored,21seeds,no time,"490,905",5,"Raise a glass, add some spice, and let these batched 21SEEDS Spicy Margs do the talking at your next bash.",
11-01-24 23:55:31,/p/DBzEK62o08L/,not sponsored,5.min.crafts,2024-10-31T18:21:41.000Z,"27,203",107,Altering a book's cover into a unique mythical dragon! 🐉
11-01-24 23:55:37,/p/DBEZ7oXtgRB/,not sponsored,maritaklatrer,2024-10-13T15:12:44.000Z,"4,473",59,Boulder of the week💗🎀
11-01-24 23:55:44,/p/DB1Ilf8OKj1/,not sponsored,flashesofstyle,2024-11-01T13:24:26.000Z,"79,796",376,"It’s tiiiiime!!! 🎀🎅🏼🎄 I’ve been so ready for Christmas this year, I can hardly contain my excitement! Goodbye black"
11-01-24 23:55:51,/p/DBtRLZwtbTW/,not sponsored,v2.in.your.jim,2024-10-29T12:03:06.000Z,"4,341",8,Don’t ask why I’m in a bin bag
11-01-24 23:55:54,Sponsored,magnatiles,no time,"83,967",17,"As the original magnetic construction brand, MAGNA-TILES wants to empower children and parents everywhere to embrace",
11-01-24 23:56:01,/p/DBE0LOgJuwq/,not sponsored,christyeahclimb,2024-10-13T19:01:09.000Z,"1,224",14,PSA: Today is the LAST DAY to send the yellow at @northernrocks.climbing 🤗! GO NOW!!
11-01-24 23:56:05,/p/DAWHq0xtOCd/,not sponsored,roxana_wienand,2024-09-25T15:45:19.000Z,"31,374",604,New record! 3 clean one arm pull-ups! 😊🥳
11-01-24 23:56:11,/p/DBcNNUkKKQ-/,not sponsored,camelryder,2024-10-22T21:01:45.000Z,"25,917",76,3 years of Full Commit #bigmanclimbs
11-01-24 23:56:14,/p/DAgIB-9Nyo3/,not sponsored,jakub_jedlicka_climbing,2024-09-29T13:02:17.000Z,"31,588",223,Every climber has their own trick to save at least a little money! Share yours with us! 🙌
11-01-24 23:56:20,Sponsored,flirtypineapple,no time,"31,948",no comments,#AdobeMAX is a creativity game-changer! Get inspired by watching the on-demand sessions. ,
11-01-24 23:56:23,/p/DA-mKZvyLjj/,not sponsored,twinkleto_oes,2024-10-11T09:03:13.000Z,"1,733",33,why am i like this
11-01-24 23:56:26,/p/C-dBOM6u7_H/,not sponsored,loiduongjr,2024-08-09T15:00:00.000Z,"708,548","2,348",It’s the same in climbing as it is in life. Keep going up. Aim for your wildest dreams. There will always be changes in
11-01-24 23:56:32,/p/DBq9_ZTvTD2/,not sponsored,megannicoleclimbs,2024-10-28T14:39:48.000Z,"5,779",20,Channeling my inner moo deng 🦛💪🏼#
11-01-24 23:56:37,/p/DBdH8pIqmId/,not sponsored,thehomeimprovementschanneluk,2024-10-23T05:35:40.000Z,"3,159",86,How To Cut Vinyl Flooring Around A Toilet 
11-01-24 23:56:44,Sponsored,progressive,no time,"295,530",7,The easiest move you'll make all day. Tell us how much you want to pay and we’ll help get you great coverage at a fair,
11-01-24 23:56:44,/p/DAym0idyftu/,not sponsored,tetonjuggler,2024-10-06T17:22:53.000Z,"210,516","1,175",The tendency is that when it’s super steep the body is inclined to throw the clubs up higher in a fear response… but the
11-01-24 23:56:51,/p/DB1DVbyxXxb/,not sponsored,ashleymariesavage,2024-11-01T12:46:55.000Z,"22,079","1,095",🕰️🎄IT’S TIMMME🎄🕰️ comment MERRY to get the details to this fun Christmas centerpiece idea sent your way! It is finally
11-01-24 23:56:56,/p/DBl-Hg6pnZQ/,not sponsored,sierrablaircoyl,2024-10-26T16:00:00.000Z,"1,092",7,Living my best life with the best chalk 💃🏼 @oncrux_official
11-01-24 23:56:59,/p/DABGzmnu3Mv/,not sponsored,travelikealocalma,2024-09-17T11:55:15.000Z,"4,006",147,"Located at @berkshire.east in Charlemont, MA, experience “The Thunderbolt” – a unique fusion of an alpine slide & roller"
11-01-24 23:57:07,/p/DAYK4WkpXEC/,not sponsored,a.hoyt,2024-09-26T10:52:03.000Z,"4,959",77,The Incredibly Scenic Welch-Dickey Loop! ⛰️
11-01-24 23:57:13,/p/C5j1RlstsKf/liked_by/,Sponsored,canva,no time,806,7,Try Content Planner free
11-01-24 23:57:17,/p/DAZgI0YSNnH/,not sponsored,climber.physio,2024-09-26T23:17:40.000Z,"3,024",50,Here are some common injuries of the hand and ways you can perform a quick assessment to determine if they may be
11-01-24 23:57:24,/p/DBz-wT8pS8q/,not sponsored,enews,2024-11-01T02:40:05.000Z,"251,772","1,046",#HeidiKlum and #TomKaulitz’s Halloween costumes are out of this world. 👽 #HeidiKlumHalloween2024
11-01-24 23:57:30,/p/DBREWb6Rq9S/,not sponsored,mwobs,2024-10-18T13:11:12.000Z,"5,433",28,"Weather Observers captured this image of rime ice over tower viewer binoculars yesterday at dawn. So, what is rime ice?"
11-01-24 23:57:33,/p/DAgU2BnupMS/,not sponsored,cornersofboston,2024-09-29T14:56:14.000Z,"8,082",47,"My Favorite Coffee Shops in 📍Boston, Ma - Happy #nationalcoffeeday "
11-01-24 23:57:39,/p/DBtDQskOwMq/,not sponsored,ranu_art_,2024-10-29T10:00:00.000Z,"22,762",151,"Filling our homes with the beauty of rangoli this Dhanteras! 🌺✨ May each color bring fortune, peace, and positive"
11-01-24 23:57:46,/p/C51UPGMOcf5/liked_by/,Sponsored,nytcooking,no time,"1,953",22,"These supersoft, pillowy chocolate muffins are reminiscent of your favorite chocolate doughnut, but with no fussy frying"
11-01-24 23:57:46,/p/DBVBsJ_vbWb/,not sponsored,connor.herson,2024-10-20T02:04:54.000Z,"5,077",120,I sent magic line! :)
11-01-24 23:57:50,/p/DAilgGOt9Zo/,not sponsored,alexis.landot,2024-09-30T11:58:10.000Z,"34,878",166,Hanging out in weird places 🤪 with @le_sage_sicilien 
11-01-24 23:57:56,/p/DAqq3vRprnw/,not sponsored,makebostonhome,2024-10-03T15:17:39.000Z,"5,081",64,find yourself a road trip buddy & head north to the white mountains! 
11-01-24 23:58:03,/p/C_jp3OVMBZW/,not sponsored,cornersofboston,2024-09-06T01:23:25.000Z,"14,040",55,"(AD) Fun Activity in 📍Boston, Ma - @zoonewengland Franklin Park Zoo in Boston "
11-01-24 23:58:07,/p/DAa2lDcCxpl/,not sponsored,boston.travel,2024-09-27T11:52:13.000Z,"14,927",110,The countdown to Christmas in Boston has begunjust 2 months until the city sparkles with holiday magic with
11-01-24 23:58:07,/p/DAtb0aasknG/liked_by/,Sponsored,cdcgov,no time,7,no comments,Flu can be prickly for pregnant people. A flu shot while pregnant can tame the wilder symptoms if you get flu.
11-01-24 23:58:11,/p/DBB0XUPPvoO/,not sponsored,southernutahclimbersalliance,2024-10-12T15:02:54.000Z,441,12,Here we go guys! This is our one chance to save the Greater Moe’s Valley. It is imperative to sign the petition. It
11-01-24 23:58:19,/p/DAtVAw5uh5i/,not sponsored,connectiveclimbing,2024-10-04T16:05:33.000Z,"4,724",97,My gym’s walls are 16ft or 4.8m. But this gym’s walls felt even taller than that! Can a SLC FRONT member tell me how
11-01-24 23:58:24,/p/C_2u8bDMJL6/,not sponsored,sixthtone,2024-09-13T11:13:47.000Z,"81,882",488,Two-Year-Old Climbing Prodigy Astounds Netizens
11-01-24 23:58:29,Sponsored,carethatfitsyou,no time,no likes,no comments,We have answers to your sexual health questions.,
11-01-24 23:58:35,/p/DBlKA3KIShV/,not sponsored,cozyclimb,2024-10-26T08:27:17.000Z,822,5,I’m not sure if so enjoy Climbing more or doing beta breakers. It’s always fun to do a Climb in different ways. One of
11-01-24 23:58:39,/p/DB1fngyNmlQ/,not sponsored,hannah_meul,2024-11-01T16:42:07.000Z,"3,388",8,"Lot‘s of climbing, lot’s of fun boulders, lot’s of cool people, lot’s of action, lot‘s of smiles, lot’s of bloody"
11-01-24 23:58:44,/p/DBi2thotpxn/,not sponsored,v2.in.your.jim,2024-10-25T10:58:40.000Z,"4,927",17,Nah I’d send
11-01-24 23:58:48,/p/C-h_DILu-Wv/,not sponsored,afterhoursclimbing,2024-08-11T13:28:45.000Z,"208,394",436,W date?
11-01-24 23:58:54,/p/C_lA5kIOkU0/,not sponsored,samrp,2024-09-06T14:04:37.000Z,"27,569",625,🚨PROPERTY TOUR ALERT🚨 
11-01-24 23:58:54,/p/DBQ9wR0y78B/,not sponsored,rachdoingherbest,2024-10-18T12:14:35.000Z,"4,751",24,Found a pretzel in the climbing gym 🫡
11-01-24 23:58:59,/p/DAmfq9ryJ55/,not sponsored,chengisalwaysclimbing,2024-10-02T00:23:06.000Z,"12,073",123,fall down
11-01-24 23:59:03,/p/DBl4nYMPIDH/,not sponsored,brazilianclimbergirl,2024-10-26T15:12:42.000Z,41,no comments,"I look at myself and take pride in who I am, where I came from, and what I’ve built... Recently, I’ve had such great"
11-01-24 23:59:08,/p/DBfJ3c_sHFQ/,not sponsored,wines_and_dines,2024-10-24T00:41:09.000Z,"3,834",30,Newish spot in Boston & it’s a blast!! @playpizzarcade is located in the TD Garden/ Big Night Live complex so it’s the
11-01-24 23:59:13,/p/C-0mg-sPeJC/,not sponsored,bostonbychloe,2024-08-18T18:50:20.000Z,"18,631",180,🪴 GREEN HOUSE CAFE 🪴
11-01-24 23:59:21,/p/DAZvK6GslJj/,not sponsored,cornersofboston,2024-09-27T01:28:50.000Z,"11,839",58,"Best Places to Grab Drinks in 📍Boston, Ma"
11-01-24 23:59:27,/p/DBJ2iE3snGY/comments/,Sponsored,beinglatino,no time,"229,742",32,"#ad First comes denial, then acceptance that the Chicken Big Mac is not not a Big Mac @mcdonalds"
11-01-24 23:59:34,/p/DBGcDgsMqMC/,not sponsored,alpinestandards,2024-10-14T10:06:41.000Z,"1,484",6,The birth of the Moonboard: a climbing revolution
11-01-24 23:59:37,/p/C_jILQYRmG0/,not sponsored,athomesouthshore,2024-09-05T20:30:30.000Z,"8,685",266,"Looking for good food, good drinks, and a date night atmosphere? These are our Top 10 Date Night Spots on the South"
11-01-24 23:59:41,/p/DALeQtFOcwR/,not sponsored,bucketlistboston,2024-09-21T12:30:00.000Z,"21,365",77,"#2034 step inside my favorite gem in the city: @bostonathenaeum 📚 (no, seriously, you should go today)! I’m about to"
11-01-24 23:59:48,/p/DBdX7EiSuyC/,not sponsored,ottoo0_,2024-10-23T07:54:24.000Z,"9,429",38,I ain’t built bendy #climbing #bouldering #rockclimbing
11-01-24 23:59:54,/p/DBFCTZjy4Mv/,not sponsored,bucketlistboston,2024-10-13T21:09:50.000Z,"3,322",70,#2049 welcome to the neighborhood @the_hummus_shop !!! teddy & I could not wait for this local husband & wife owned spot
11-01-24 23:59:54,Sponsored,vrst,no time,136,no comments,Limitless Pant Collection,
11-01-24 23:59:59,/p/DBkvVTyB8Fg/,not sponsored,somrataurangzeb,2024-10-26T04:36:22.000Z,"12,299",107,the ultimate obstacle compilation : thrilling action you can’t miss
11-02-24 00:00:03,/p/DBdTAQpsa9C/,not sponsored,carayolu,2024-10-23T07:10:30.000Z,"11,856",218,🧐🧐
11-02-24 00:00:10,/p/C_PEOAKsqR-/,not sponsored,cornersofboston,2024-08-29T01:29:10.000Z,"21,233",95,"First Cat Café in 📍Boston, Ma - @asanctuarycafe "
11-02-24 00:00:14,/p/DBc9l6KxuDH/,not sponsored,rebecacoss1,2024-10-23T04:04:43.000Z,"6,788",160,Buenas tardes 😃
11-02-24 00:00:18,/p/DAWk8zXINh9/,not sponsored,spirographshr,2024-09-25T20:01:40.000Z,"99,974",886,Beautiful Spirograph 
11-02-24 00:00:24,Sponsored,shopwithgoogle,no time,"31,459",2,Must-get gifts to check off your list: Shop bracelet watches & more Coach accessories with Google.,
11-02-24 00:00:30,/p/DA2-C8iqrvb/,not sponsored,mark.smith.photography,2024-10-08T09:57:02.000Z,"16,938",205,Full speed ahead for the ospreys who have mastered the art of snatching a fish from the surface. With a large incoming
11-02-24 00:00:35,/p/DBwP1I0PmFk/,not sponsored,ilikebigbuttress,2024-10-30T15:47:58.000Z,"1,884",12,Slogging back to Salt Lake currently with a full heart and satiated climbing appetite for the moment. We finished this
11-02-24 00:00:43,/p/DBx0d6UPQ9K/,not sponsored,roopa_rangoli,2024-10-31T06:31:05.000Z,"26,965",144,🪔Diwali Rangoli Designs @roopa_rangoli #rangoli #kolam #muggulu #art #rooparangoli #traditionalart #drawing #instagood
11-02-24 00:00:46,/p/DBdFJMkt5b1/,not sponsored,dehghan_agent,2024-10-23T05:10:35.000Z,"2,160",83,برای نصب سرامیک حتما از این زانوبند استفاده کن که به پا زانو و کمرت آسیب وارد نشه
11-02-24 00:00:46,/p/C_SUOAQtAyZ/,not sponsored,venusclimbs,2024-08-30T07:48:01.000Z,"5,499",73,Honestly this is SO HARD 🤣 🤫 #boulder #climbing #climb #climber #womenwhoclimb #womenwhoboulder #boulderingwomen
11-02-24 00:00:54,Sponsored,the_crewone,no time,"3,125,494",189,𝘼𝙋𝙏. 𝘼𝙋𝙏. 𝘼𝙋𝙏. 🎶#더크루원 #T,
11-02-24 00:01:00,/p/DBgwTCtIz8u/,not sponsored,5.min.crafts,2024-10-24T15:25:23.000Z,"40,969",404,Blooming onion and eggs! 🍳 🧅 Simple and tasty outdoor cooking idea 🌄 
11-02-24 00:01:06,/p/DBdH-5Ao8jy/,not sponsored,arunima_food_code,2024-10-23T05:37:45.000Z,"13,407",92,Egg Biryani 
11-02-24 00:01:10,/p/DBMNswoJ8b_/,not sponsored,sowaboston,2024-10-16T16:01:20.000Z,"12,310",117,✨The magic returns…
