time collected,id,sponsored,username,time,likes,comments,description
11-01-24 16:08:30,/p/C_m_6XNtuig/,not sponsored,sashavoityk,2024-09-07T08:34:44.000Z,"8,804",87,"Climbing is all about mastering and controlling your body. When we first start, we tend to compensate for a lack of"
11-01-24 16:08:30,/p/DAyI4uDS-29/,not sponsored,hoseok_lee93,2024-10-06T13:10:10.000Z,"16,769",69,"believe it or not: compressing on the 3rd ball required some balancing skills of the other two balls I have somewhere,"
11-01-24 16:08:37,/p/DBZWRpfstvk/liked_by/,Sponsored,shopwithgoogle,no time,50,no comments,Must-get gifts to check off your list: Shop Coach bags & charms to match with Google.
11-01-24 16:08:41,/p/DBVLFu8NZvX/,not sponsored,noah._.richer,2024-10-20T03:31:31.000Z,948,12,"Ghost match felt easy today, campus spin did not tho :("
11-01-24 16:08:44,/p/DAWJ_bPRq5E/,not sponsored,roxclimbinggym,2024-09-25T16:06:43.000Z,"29,564",22,"When in doubt, dyno it out! And if that doesn’t work, come check out our Dare to Dyno class tomorrow night at"
11-01-24 16:08:52,/p/DApvHafIBr_/,not sponsored,sara.sedej,2024-10-03T06:39:48.000Z,"5,994",28,Take me to the beach climbers edition 😃
11-01-24 16:08:55,/p/C_YOAQxviMT/,not sponsored,jonagraphs,2024-09-01T14:50:35.000Z,"20,968",150,I’ve seen the movie Free Solo.
11-01-24 16:09:03,Sponsored,surveymonkey,no time,"15,233",no comments,Looking for a fresh perspective? 81% of consumers say they’d be excited to give brands their opinions for new products.,
11-01-24 16:09:09,/p/DAtH4l6Pac3/,not sponsored,ilikebigbuttress,2024-10-04T14:09:52.000Z,"9,159",69,First time up “Armatron” and still one of the coolest Red Rocks routes I’ve had the pleasure of climbing! This was on
11-01-24 16:09:14,/p/C-mcJ3syNH-/,not sponsored,snz.climbs,2024-08-13T06:53:15.000Z,"172,686",877,fun new 7B[V5-V6] at @bhub.bouldering 
11-01-24 16:09:21,/p/DBPTkPTJzcQ/,not sponsored,reachclimbingphilly,2024-10-17T20:47:02.000Z,"4,645",13,NEW BOULDER SET TODAY!!!
11-01-24 16:09:25,/p/C_QfZdHNKSV/,not sponsored,depotmanchester,2024-08-29T15:01:42.000Z,"28,041",99,THE CAVE HAS BEEN RESET
11-01-24 16:09:31,/p/DBkDroNyQIA/,not sponsored,jlngns,2024-10-25T22:10:00.000Z,"4,508",35,not getting any beta 🫠
11-01-24 16:09:31,Sponsored,soyummy,no time,"37,060",no comments,🐶 The secret to a happy and healthy pup 🐶 🐕,
11-01-24 16:09:38,/p/C-k8LRrusHs/,not sponsored,sashadigiulian,2024-08-12T16:50:54.000Z,122,no comments,How about some cheese with that wine? 🍷 
11-01-24 16:09:45,/p/DAGpjWQMgw2/,not sponsored,epictvclimbing,2024-09-19T15:40:00.000Z,"14,219",86,Guidebook description: the descent includes a parkour style jump onto another boulder 
11-01-24 16:09:49,/p/DBOxxo1yEWk/,not sponsored,hanjosephclimbs,2024-10-17T15:52:32.000Z,"8,617",49,Day 9 #floatflowfly: funky jumps! 
11-01-24 16:09:57,/p/DAi0EGRsasy/liked_by/,Sponsored,nissanusa,no time,17,no comments,"Find a new thrill in the Nissan Rogue, Sentra, Altima, KICKS, LEAF, and Versa."
11-01-24 16:10:01,/p/DByjL1Ov8jt/,not sponsored,nitrocircus,2024-10-31T13:16:45.000Z,"16,882",26,Triple flips for breakfast… 🤷‍♂️
11-01-24 16:10:07,/p/DAnpVsKtMyV/,not sponsored,blokcorp,2024-10-02T11:09:15.000Z,"18,820",141,Notez ce mouvement sur 10 dans les commentaires 🤔⬇️
11-01-24 16:10:11,/p/DA2XCqduVbN/,not sponsored,benmillsclimbs,2024-10-08T04:19:03.000Z,"3,770",17,3 Tips to FLASH more climbs | Day 44 of training to make finals at a climbing competition.
11-01-24 16:10:18,/p/C-cqlzyyIFz/,not sponsored,climb_student_p,2024-08-09T11:49:05.000Z,"27,506",39,《Up the wall》 Dyno Challenge✨️
11-01-24 16:10:21,Sponsored,macys,no time,no likes,no comments,"Laura Ashley 300 Thread Count Cotton Sateen Pillowcase Pair, Standard - Lilian",
11-01-24 16:10:29,/p/DBrnrUsS2vt/,not sponsored,tony.archie,2024-10-28T20:40:30.000Z,"6,468",49,Don’t sleep on desert sport climbing!
11-01-24 16:10:34,/p/DBPF8BYSkOd/,not sponsored,sara.sendedition,2024-10-17T18:47:20.000Z,"2,707",10,This one thing makes rockovers way more effective
11-01-24 16:10:34,/p/C_eAFvfutsm/,not sponsored,deuter,2024-09-03T20:41:39.000Z,"20,781",42,@melissaleneve and @nicofavresse were totally hooked by the Tsaranoro Mountains in Madagascar 🏞️ and set their sights
11-01-24 16:10:41,/p/DAgVxz2NGfO/,not sponsored,kimborey.lam,2024-09-29T15:02:23.000Z,"7,136",23,Time to go home 🙄
11-01-24 16:10:47,/p/C-nHjaqtJyr/liked_by/,Sponsored,wix,no time,29,no comments,"Write your own future, literally. Start a blog, find your niche and start collecting profits."
11-01-24 16:10:55,/p/DBdqx2CNweW/,not sponsored,west.bouldering,2024-10-23T10:59:47.000Z,932,9,🧊LODOWY BOULDER TYGODNIA
11-01-24 16:10:59,/p/DBWuSNMNYJu/,not sponsored,mamaxclimbs,2024-10-20T17:56:34.000Z,"1,194",32,"Fun boulder! 🥴 That Friend who has to show you how it’s done,"
11-01-24 16:11:05,/p/C-STqQVIQpC/,not sponsored,paradigm_climbing_coaching,2024-08-05T11:10:00.000Z,"420,767",213,Albatross (V11/8A) 🐦 🌶️  
11-01-24 16:11:12,/p/DAnmjH8sr3G/,not sponsored,janja_garnbret,2024-10-02T10:44:02.000Z,"50,731",228,Fell in love with this route and the process of trying hard. 
11-01-24 16:11:18,/p/C51IcfMu-_F/liked_by/,Sponsored,nytcooking,no time,548,5,"The buttery blend of oats and nuts in this easy, warm dessert stays nubby and crunchy while baking over the juicy fruit."
11-01-24 16:11:26,/p/C-fd6eVtHPI/,not sponsored,sashavoityk,2024-08-10T13:53:50.000Z,"16,496",40,Safe climbing balance🤸
11-01-24 16:11:29,/p/DAazRZEtGky/,not sponsored,v2.in.your.jim,2024-09-27T11:23:37.000Z,"45,822",157,These people smh smh 🤦‍♂️ 
11-01-24 16:11:36,/p/DBcZRq1B7Q-/,not sponsored,centralrockrochester,2024-10-22T22:47:45.000Z,"5,861",51,It’s spooky season and there’s nothing scarier than the bouldering section of your climbing gym 👻😱
11-01-24 16:11:36,/p/C5wtwKZN1Fr/liked_by/,Sponsored,canva,no time,52,2,Try Content Planner free
