time collected,id,sponsored,username,time,likes,comments,description
11-01-24 10:02:52,/p/DB0WVHDSe2H/,not sponsored,yur__baking_28,2024-11-01T06:01:43.000Z,no likes,no comments,세상에서 제일 귀여운 긔요미 댕댕이💙
11-01-24 10:02:52,/p/DB0QgNGImBB/,not sponsored,baking_fromsisters,2024-11-01T05:10:48.000Z,33,no comments,#réel #reelsinstagram #surprise #surprisebirthday #surprisevisit #surprisedelivery #surprisevisit❤️ #surprisegift
11-01-24 10:02:52,Sponsored,progressive,no time,"8,546",no comments,The easiest move you'll make all day. Tell us how much you want to pay and we’ll help get you great coverage at a fair,
11-01-24 10:02:52,/p/DBy2DXsva2t/,not sponsored,yoon_baking42,2024-10-31T16:00:26.000Z,24,3,악마 카피바라 초코 컵케이크
11-01-24 10:02:58,/p/DBy2EWfsc1i/,not sponsored,based_kana,2024-10-31T16:00:00.000Z,"5,680",39,Happy Halloween
11-01-24 10:02:58,/p/DByocW8OlE1/,not sponsored,bakingamoment,2024-10-31T14:01:33.000Z,44,no comments,This easy lemon pasta recipe is such a luxurious treat! Just a few ingredients & 10 minutes and you’ll be in sunny
11-01-24 10:03:04,Sponsored,aplaceformom,no time,"90,084",21,"We are here to help you make the most confident senior living decision for your loved one, all at no cost to your family",
11-01-24 10:03:12,/p/DBwquqjxZ6z/,not sponsored,hichasestokes,2024-10-30T19:43:00.000Z,"645,575",796,"To make a record your way, with your people, and sell out the most famous arena in the world, made my heart explode out"
11-01-24 10:03:17,/p/DB1JqYLOs8k/,not sponsored,kingarthurbaking,2024-11-01T13:30:16.000Z,188,2,"Grab a paper bag, it's time to ... bake apple pie? 🥧 Yep, you heard that right! Not only does baking your pie in a"
11-01-24 10:03:27,/p/DByv6xuuOjo/,not sponsored,bakingwithblondie,2024-10-31T15:06:50.000Z,"2,038",53,Ghosts of Halloween cake’s past! Which one is your fav? 
11-01-24 10:03:35,/p/DB0trU0otD7/,not sponsored,mamas_girlbaking,2024-11-01T09:25:44.000Z,53,no comments,"𝗬𝗼𝘂 𝗮𝗿𝗲 𝗺𝘆 𝗺𝗮𝗴𝗶𝗰𝗮𝗹 𝘄𝗶𝗹𝗱𝗳𝗹𝗼𝘄𝗲𝗿,🌻𝗶𝗻 𝗮 𝘄𝗼𝗿𝗹𝗱 𝗳𝘂𝗹𝗹 𝗼𝗳 𝗶𝗹𝗹𝘂𝘀𝗶"
11-01-24 10:03:35,/p/DA8mXOxAoSf/liked_by/,Sponsored,nortonsecurity,no time,10,no comments,"Reliable ✅ Trustworthy ✅ Up-to-date ✅ Yup, that’s what we strive for at Norton."
11-01-24 10:03:35,/p/DB1NOPru5DZ/,not sponsored,bakingamoment,2024-11-01T14:01:25.000Z,no likes,no comments,"Looking to change up your pasta game? Try this easy puttanesca sauce recipe. It’s positively bursting with bold, robust"
11-01-24 10:03:43,/p/DBzxXwNy7-V/,not sponsored,baking.__.bunny,2024-11-01T00:38:46.000Z,13,2,08년생 살림살이 보태기ㅋㅋㅋ 이벤트 당첨됐어요!!
11-01-24 10:03:54,/p/DB1HCt_xW_b/,not sponsored,bakingforbusiness,2024-11-01T13:07:22.000Z,81,7,You may be a small business but you serve a big God.🙌
11-01-24 10:03:59,Sponsored,aaanortheast,no time,65,no comments,AAA members save on brands they know and love - plus everyday saving on the things they need. Join today!,
11-01-24 10:04:09,/p/DBzK6myygDH/,not sponsored,kingarthurbaking,2024-10-31T19:02:44.000Z,699,4,"This one is for two very different groups: the super organizers who love lists, planning ahead, and PDFs, and the ones"
11-01-24 10:04:17,/p/DByNqPtPkZ-/,not sponsored,dalgom_baking,2024-10-31T10:07:29.000Z,10,no comments,#모카크림브레드 ☕️
11-01-24 10:04:24,/p/DB1HLT0t6hs/,not sponsored,passionforbaking,2024-11-01T13:13:19.000Z,424,8,This cherry ganache is so delicious! It’s bursting with a vibrant cherry flavor that truly shines through.
11-01-24 10:04:24,/p/DB0w9QvoejP/,not sponsored,mamas_girlbaking,2024-11-01T09:54:23.000Z,29,no comments,"𝗪𝗵𝗲𝗻 𝘆𝗼𝘂𝗿 𝗺𝗶𝗻𝗱 𝗶𝘀 𝗮𝘁 𝘄𝗮𝗿,❣️ 𝗜 𝘄𝗮𝗻𝗻𝗮 𝗯𝗲 𝘆𝗼𝘂𝗿 𝘄"
11-01-24 10:04:32,Sponsored,casper,no time,no likes,no comments,The Dream - Hybrid Memory Foam | Casper,
11-01-24 10:04:37,/p/DB003LqPQP2/,not sponsored,baking_buddyy,2024-11-01T10:28:49.000Z,"1,066",37,💚 주댕이 한 바가지 주댕치 쿠키 💚-
11-01-24 10:04:45,/p/DByhrqcPQa3/,not sponsored,maengeul_baking,2024-10-31T13:02:26.000Z,2,no comments,#광고 @miltec.house_kr 
11-01-24 10:04:51,/p/DBy8hm4O4SO/,not sponsored,kingarthurbaking,2024-10-31T16:57:00.000Z,434,41,"#nytbestseller alert! 📢 If ever there were an occasion to celebrate by breaking bread, it would be this one. 🥖 Our new c"
11-01-24 10:05:01,/p/DBziqt3hOwF/,not sponsored,entertainmenttonight,2024-10-31T22:33:14.000Z,"305,778",556,Dylan Sprouse and Barbara Palvin set out to win Halloween year after year with their epic anime costumes.⁠
11-01-24 10:05:06,Sponsored,zennioptical,no time,no likes,no comments,MR/VR Prescription Lenses for Meta Quest 3S / 2 VR70006017,
11-01-24 10:05:06,/p/DBzMKheyMXY/,not sponsored,subtleasian.baking,2024-10-31T19:16:45.000Z,27,no comments,🍵🍡Fluffy matcha latte with a dessert xiao long bao skewer and ice cream easy recipe 👇F
11-01-24 10:05:14,/p/DByi1pwv5gI/,not sponsored,jio_baking,2024-10-31T13:12:32.000Z,46,2,#휘낭시에 
11-01-24 10:05:25,/p/DByqjeupy4b/,not sponsored,thefeedfeed,2024-10-31T14:20:09.000Z,"1,391",251,Comment ‘RECIPE’ to have this Cinnamon Spiced Banana Cake recipe by @eatsbyellaa sent to your DMs 🍌
11-01-24 10:05:35,/p/DByzpeTvz7A/,not sponsored,the.baking.experiment,2024-10-31T15:44:35.000Z,104,42,Happy Halloween! 👻🎃 Finishing off spooky szn with this tombstone hot chocolate bomb!
11-01-24 10:05:42,Sponsored,lumedeodorant,no time,no likes,no comments,NEW! 💥Lume Deodorant SPRAY is here! 💦 The same OB/GYN-developed 👩‍⚕️AHA-powered 💪72 Hour ⏱️Whole Body 🍑Odor Control you ,
11-01-24 10:05:51,/p/DBytoDIpsyH/,not sponsored,natashas_baking,2024-10-31T14:54:48.000Z,"4,661",52,"🎃 Halloween may be about candy, but I’m here for the cozy flavors of sage and pumpkin 🎃🎃👻👻Cel"
11-01-24 10:05:56,/p/DBy_qdKoOtQ/,not sponsored,thebakinglondoner,2024-10-31T17:25:01.000Z,31,14,🧡🖤Happy Halloweeeen! 💀 🎃 Som
11-01-24 10:06:05,/p/DB0HWTLikyf/,not sponsored,fuckboyproblem.s,2024-11-01T03:51:33.000Z,"164,421",825,Follow (us) @FUCKBOYPROBLEM.S for more celebrity content 😂🎃🍿u
11-01-24 10:06:48,/p/DBysimkPbxD/,not sponsored,maengeul_baking,2024-10-31T14:38:56.000Z,5,no comments,5분컷 오븐청소 꿀팁🧹🧽✨
11-01-24 10:06:48,Sponsored,soyummy,no time,"49,173",8,🐶 The secret to a happy and healthy pup 🐶 🐕,
11-01-24 10:06:57,/p/DBxSPsotYlx/,not sponsored,michael_thomas_white,2024-10-31T01:29:18.000Z,"182,745",230,Exactly 1 year ago ❤️ #couple #nyc #reels
11-01-24 10:07:04,/p/DB0xQ7_Ioj2/,not sponsored,mamas_girlbaking,2024-11-01T09:57:05.000Z,18,no comments,𝗜 𝘀𝘁𝗶𝗹𝗹 𝗯𝗲𝗹𝗶𝗲𝘃𝗲 𝗶𝗻 𝘀𝗼𝘂𝗹𝗺𝗮𝘁𝗲𝘀♥️📌
11-01-24 10:07:10,/p/DBy2MBqg2WG/,not sponsored,isabel.wherry,2024-10-31T16:12:58.000Z,"13,323",99,It’s basically her whole personality now 😂💀🪲Th
11-01-24 10:07:15,/p/DBzPuH6SiNI/,not sponsored,thefeedfeed,2024-10-31T19:44:59.000Z,890,7,These Cinnamon Roll Cookies by @izzyskitchen_ is filled with buttery cinnamon swirls and topped with a white chocolate
11-01-24 10:07:26,/p/DAi0EGRsasy/liked_by/,Sponsored,nissanusa,no time,17,no comments,"Find a new thrill in the Nissan Rogue, Sentra, Altima, KICKS, LEAF, and Versa."
11-01-24 10:07:34,/p/DBy9zreRzxS/,not sponsored,bakingforbusiness,2024-10-31T17:08:12.000Z,21,20,If your goal for 2025 is to find more ways to elevate your income then this is for you! 🎉
11-01-24 10:07:40,/p/DByxbC7vDMC/,not sponsored,bitchy.tweets,2024-10-31T15:19:59.000Z,"141,063",158,they really know the way to my heart 
11-01-24 10:07:45,/p/DByZXzGP78k/,not sponsored,miyeonnn_baking,2024-10-31T11:49:49.000Z,126,47,목잘린 할로윈쿠키👻
11-01-24 10:07:55,/p/DByIiEXPFzM/,not sponsored,baking_naong,2024-10-31T09:22:40.000Z,12,no comments,👻햅삐 할로윈👻
11-01-24 10:08:03,/p/DBfEQwVMX3d/liked_by/,Sponsored,dcucreditunion,no time,14,no comments,"Earn a 6.17% APY on balances up to $1,000."
11-01-24 10:08:12,/p/DBwsnykoHXT/,not sponsored,queenmotivat,2024-10-30T20:03:14.000Z,"242,383",295,Same style different auras 💛✨
11-01-24 10:08:23,/p/DB0P7m9ICNW/,not sponsored,baking_fromsisters,2024-11-01T05:05:48.000Z,35,no comments,#réel #reelsinstagram #surprise #surprisebirthday #surprisevisit #surprisedelivery #surprisevisit❤️ #surprisegift
11-01-24 10:08:23,/p/DBxorSgOuAQ/,not sponsored,factsdailyy,2024-10-31T04:45:51.000Z,235,no comments,Shaun’s baby 👶
11-01-24 10:08:33,/p/DByO1AEPEm6/,not sponsored,jiji._.baking,2024-10-31T10:17:41.000Z,23,4,단짠단짠 황치즈 마들렌
11-01-24 10:08:43,Sponsored,verizon,no time,"180,499",11,"Save on the new iPhone 16 Pro, iPad and Apple One when you switch to Verizon",
11-01-24 10:08:54,/p/DB0lNB9vYhC/,not sponsored,baking_buddyy,2024-11-01T08:11:41.000Z,"1,525",21,주댕치 사랑해⑉♥
11-01-24 10:09:02,/p/DBwVkR0PiJ5/,not sponsored,through.the.lleaves,2024-10-30T16:51:26.000Z,"244,498",914,I am melting 🥹🍁❤️ .
11-01-24 10:09:07,/p/DBxUHKMSedf/,not sponsored,maengeul_baking,2024-10-31T01:44:37.000Z,18,no comments,가을 사과 만끽하기 @miltec.house_kr 🍎🫶🏻바
11-01-24 10:09:16,/p/DBwO_dlAzIn/,not sponsored,helloquadruplets,2024-10-30T15:42:24.000Z,"16,454",124,Willow has a very specific taste in costumes 😅
11-01-24 10:09:26,/p/DBrhHabAvJ1/liked_by/,Sponsored,backstagecast,no time,26,no comments,"Casting content creators for a HelloFresh commercial. Paying $1,000!"
11-01-24 10:09:33,/p/DB0QhkKIakK/,not sponsored,baking_fromsisters,2024-11-01T05:10:59.000Z,8,no comments,#réel #reelsinstagram #surprise #surprisebirthday #surprisevisit #surprisedelivery #surprisevisit❤️ #surprisegift
11-01-24 10:09:43,/p/DBxjmzwRA0t/,not sponsored,evanysphotography,2024-10-31T04:04:42.000Z,"142,403",165,things got spooky today at @masterballetacademy 😂
11-01-24 10:09:53,/p/DBxMIEDNs-y/,not sponsored,bakingforbusiness,2024-10-31T00:34:50.000Z,561,188,This question stops so many people from making an income while they can also make an impact. 🎉
11-01-24 10:09:53,/p/DBw_odZp48r/,not sponsored,officialbroadwayworld,2024-10-30T22:48:22.000Z,"34,355",113,@charlidamelio has made her Broadway debut! The TikTok star and #DWTS champion joined the cast of @andjulietbway on
11-01-24 10:10:00,Sponsored,viator,no time,no likes,no comments,"Stonehenge, Windsor Castle and Bath with Pub Lunch in Lacock",
11-01-24 10:10:05,/p/DBsDO77SEFW/,not sponsored,bakingwithstephy,2024-10-29T00:40:56.000Z,438,19,Robin Turns 7 ✨💜🍰 had the best time celebrating my baby girl. I LOVE making my kids’ birthday cakes 💕.
11-01-24 10:10:14,/p/DBwFIX8PXU8/,not sponsored,quincieandzach,2024-10-30T14:15:19.000Z,"65,014",158,"we are so incredibly blessed for the way things worked out, we truly would never want it any other way 🤭 she is our"
11-01-24 10:10:24,/p/DB0QfS8IriN/,not sponsored,baking_fromsisters,2024-11-01T05:10:41.000Z,10,no comments,#réel #reelsinstagram #surprise #surprisebirthday #surprisevisit #surprisedelivery #surprisevisit❤️ #surprisegift
11-01-24 10:10:33,/p/DBwQxmUOSw5/,not sponsored,kelliegerardi,2024-10-30T15:58:57.000Z,"55,287","1,044",…and love is so many people reaching out to check in or just send a quick comment of support. I’m overwhelmed and so
11-01-24 10:10:43,Sponsored,tcsdigitalsolutions,no time,no likes,no comments,Afinia L301 Small Business Color Label Printer SKU: 26849 GTIN: 678621130057,
11-01-24 10:10:50,/p/DBzEvJEowzp/,not sponsored,_baking_heaven_,2024-10-31T18:08:45.000Z,91,no comments,Congratulating!
11-01-24 10:10:59,/p/DByg1V3PpEA/,not sponsored,pov_husband,2024-10-31T13:09:20.000Z,"133,315","2,246",I wish I was lying to you guys but one Colorado omelette $32.94 after taxes & fees.  No add-ons.  Delivery fee $0.49
11-01-24 10:11:05,/p/DBtbgTlO0sk/,not sponsored,kingarthurbaking,2024-10-29T13:32:15.000Z,"1,066",10,"Spooky season just got sweeter! 🖤🎃 These Halloween cookies are light, crispy, and loaded with rich cocoa flavor. Thanks"
11-01-24 10:11:15,/p/DBy59EsOTlc/,not sponsored,subwaytakes,2024-10-31T16:37:21.000Z,"57,037",970,Episode 216: NO MORE ARTISANAL KETCHUPS feat @paulscheer 
11-01-24 10:11:15,Sponsored,bose,no time,no likes,no comments,Bose SoundLink Max Portable Speaker - Blue Dusk,
11-01-24 10:11:25,/p/DB0P3Z1oeSn/,not sponsored,baking_fromsisters,2024-11-01T05:05:14.000Z,20,no comments,#réel #reelsinstagram #surprise #surprisebirthday #surprisevisit #surprisedelivery #surprisevisit❤️ #surprisegift
11-01-24 10:11:31,/p/DBwM5typoPA/,not sponsored,bustle,2024-10-30T15:22:22.000Z,"16,586",412,"NO, CHEF! In a new interview with IndieWire, Lucas Bravo revealed that he is re-thinking his future as Gabriel on ‘Emily"
11-01-24 10:11:41,/p/DBwDnReuDwM/,not sponsored,bakingamoment,2024-10-30T14:01:14.000Z,68,no comments,"Irish colcannon with a cheesy twist! Mashed potatoes with scallions, greens, and sharp cheddar. A perfectly scrumptious"
11-01-24 10:11:46,/p/DBwzSkkIkgK/,not sponsored,samthompsonuk,2024-10-30T21:00:26.000Z,"89,751",953,Love a day out at the shops 🤥😂
11-01-24 10:11:53,/p/DBpgd-vMz9Q/liked_by/,Sponsored,airoasis,no time,no likes,no comments,"""The air just feels cleaner and my allergies stay in control with this purifier."" - Laurie C"
11-01-24 10:12:01,/p/DBvXhdsIlE3/,not sponsored,bakingbutterr,2024-10-30T07:35:00.000Z,64,no comments,Naked fruity floral cake 💚💜🧡💛🩵❤️ 💐
11-01-24 10:12:10,/p/DBziQfQvh2B/,not sponsored,jacksonolson_,2024-10-31T22:27:52.000Z,"87,080","1,086",Happy Halloween I’m crying now 🥹
11-01-24 10:12:19,/p/DB0QCXjoJB_/,not sponsored,baking_fromsisters,2024-11-01T05:06:44.000Z,4,no comments,#réel #reelsinstagram #surprise #surprisebirthday #surprisevisit #surprisedelivery #surprisevisit❤️ #surprisegift
11-01-24 10:12:29,/p/DBwv3fXRnHK/,not sponsored,lindseygurk,2024-10-30T20:29:09.000Z,"62,992",746,He wrote MANY songs this eve. We did this for 30 minutes. 😆
11-01-24 10:12:29,Sponsored,swansonhealth,no time,no likes,no comments,Irwin Naturals Testosterone Mega Boost Red | 68 Soft Gels,
11-01-24 10:12:39,/p/DBvqWCZPUcK/,not sponsored,yeah.baking,2024-10-30T10:20:24.000Z,17,no comments,고구마케이크🍠
11-01-24 10:12:48,/p/DBwe0BqPWfK/,not sponsored,calipries,2024-10-30T18:03:24.000Z,"105,994",123,Happy Halloween Eve 🧡
11-01-24 10:12:53,/p/DBwgh2NoZ3l/,not sponsored,_baking_heaven_,2024-10-30T18:13:53.000Z,94,2,Hey guys😌♥️
