id,username,time,likes,comments,sponsored
/p/DBq6B6eOrxc/,not sponsored,bakingamoment,2024-10-28T14:01:18.000Z,112,no comments
/p/DBqM-AvIDxZ/,not sponsored,bakingbutterr,2024-10-28T07:27:31.000Z,272,2
Sponsored,birdygrey,no time,"10,129",4,
/p/DBlWJVqPPi4/,not sponsored,yur__baking_28,2024-10-26T10:11:30.000Z,11,no comments
/p/DBpv2cuvZlD/,not sponsored,kkukki_baking,2024-10-28T03:13:05.000Z,no likes,no comments
/p/DBrCIbJpyoZ/,not sponsored,lovephrases,2024-10-28T15:12:03.000Z,"14,751",38
/p/DBTu8boyK2j/,not sponsored,dodam.baking,2024-10-19T14:01:52.000Z,45,8
/p/DBWJhgEstUp/liked_by/,Sponsored,flyhugz,no time,59,5
/p/DBt0SEqTQQs/,not sponsored,dark.contents,2024-10-29T17:08:46.000Z,285,5
/p/DBqJoZRI1Tl/,not sponsored,bakingbutterr,2024-10-28T06:58:21.000Z,384,3
/p/DBtiOoMszzk/,not sponsored,rectangularscreen,2024-10-29T14:31:00.000Z,"1,202",no comments
/p/DBGO4-AT3Uw/,not sponsored,myong_baking,2024-10-14T08:11:39.000Z,16,no comments
/p/DA1H6KVgdn4/liked_by/,Sponsored,wndrmuseum,no time,348,no comments
/p/DBajv45vOqY/,not sponsored,mirae_baking,2024-10-22T05:38:43.000Z,68,no comments
/p/DBh6S30yc68/,not sponsored,yur__baking_28,2024-10-25T02:10:25.000Z,2,no comments
/p/DBtkJ2MILF0/,not sponsored,bakingbutterr,2024-10-29T14:47:50.000Z,37,no comments
/p/DBgI5JKPrqO/,not sponsored,jjeong_baking,2024-10-24T09:39:30.000Z,134,25
Sponsored,silvercutjewelry,no time,"589,194",100,
/p/DBoVOazuR24/,not sponsored,bakingamoment,2024-10-27T14:01:14.000Z,115,2
/p/DA2tUdzvTAZ/,not sponsored,siwon._.baking,2024-10-08T07:29:42.000Z,15,no comments
/p/DBq5s-Kpf9B/,not sponsored,theskimm,2024-10-28T13:59:33.000Z,"109,040","1,228"
/p/DBNcb1qv0uF/,not sponsored,miyeonnn_baking,2024-10-17T03:24:41.000Z,261,54
Sponsored,no username,no time,"1,337,714",125,
/p/DBuchcjv2P2/,not sponsored,womanplus.usa,2024-10-29T23:00:24.000Z,"1,288",22
/p/DBtgE5-ogtM/,not sponsored,bakingbutterr,2024-10-29T14:12:12.000Z,54,no comments
/p/DA4hgENT-W7/,not sponsored,yur__baking_28,2024-10-09T00:24:54.000Z,86,11
/p/DA3T2scvFWZ/,not sponsored,jjeong_baking,2024-10-08T13:06:25.000Z,158,11
Sponsored,azurebatana,no time,"4,092,913","1,400",
/p/DBn_ss6g64m/,not sponsored,esmachali,2024-10-27T10:53:04.000Z,44,no comments
/p/DBh0uQJySor/,not sponsored,miyeonnn_baking,2024-10-25T01:21:43.000Z,159,63
/p/DBrePxUzZ3I/,not sponsored,officialadelefanpage,2024-10-28T19:17:44.000Z,"51,019",157
/p/DBbTqhGzkdV/,not sponsored,mijii_baking,2024-10-22T12:37:25.000Z,142,5
Sponsored,chefpreserve,no time,"1,450,319",476,
/p/DBnutLkPszD/,not sponsored,soongong_baking,2024-10-27T08:24:36.000Z,20,3
/p/DBlwdWlOCfE/,not sponsored,bakingamoment,2024-10-26T14:01:27.000Z,47,no comments
/p/DBOc6ADSuEE/,not sponsored,dodam.baking,2024-10-17T12:48:03.000Z,40,4
/p/DBTekyAvU1h/,not sponsored,siwon._.baking,2024-10-19T11:38:49.000Z,14,no comments
/p/C-8abglgMtF/comments/,Sponsored,disneystudios,no time,"87,690",125
/p/DBm_HAryq7N/,not sponsored,dalbodre_baking,2024-10-27T01:28:41.000Z,260,3
/p/DBXYfdgzalF/,not sponsored,kkukki_baking,2024-10-21T00:02:38.000Z,4,no comments
/p/DBoFIiMv4Md/,not sponsored,iamthirtyaf,2024-10-26T11:40:00.000Z,"181,060",546
/p/DAqvQAfy5aH/,not sponsored,h0me._.baking,2024-10-03T15:55:40.000Z,no likes,no comments
/p/DBrFZWLA8mg/liked_by/,Sponsored,dolepics,no time,54,no comments
/p/DBtKMU6xT3W/,not sponsored,thespacegal,2024-10-29T11:00:00.000Z,"73,629","4,752"
/p/DBl4wGtIYPY/,not sponsored,bakingbutterr,2024-10-26T15:13:53.000Z,108,no comments
/p/DBrhsSSP3vw/,not sponsored,colbertlateshow,2024-10-28T19:48:40.000Z,"74,996",626
/p/DAkdb7FPUV9/,not sponsored,hm.__.baking,2024-10-01T05:24:34.000Z,115,13
/p/DA1b52yggGa/liked_by/,Sponsored,meaningfulbeauty,no time,99,no comments
/p/DBroo7duYXy/,not sponsored,archivesofswift,2024-10-28T20:50:11.000Z,"38,113",469
/p/DBnulgmvrIl/,not sponsored,soongong_baking,2024-10-27T08:23:33.000Z,20,2
/p/DA0SpeJPvt0/,not sponsored,59_baking__,2024-10-07T08:58:09.000Z,48,5
/p/DAxBL0VvYM4/,not sponsored,kkokko_baking,2024-10-06T02:27:50.000Z,94,12
Sponsored,livewireev,no time,"1,911",6,
