id,username,time,likes,comments,sponsored
/p/DBu079dokn2/,not sponsored,thebaking.bliss,2024-10-30T02:33:43.000Z,3,no comments
/p/DBpv2cuvZlD/,not sponsored,kkukki_baking,2024-10-28T03:13:05.000Z,no likes,no comments
Sponsored,viator,no time,no likes,no comments,
/p/DBhPgUaz7gF/,not sponsored,tmbbaking,2024-10-24T19:56:31.000Z,27,no comments
/p/DBqJoZRI1Tl/,not sponsored,bakingbutterr,2024-10-28T06:58:21.000Z,383,3
/p/DBsN1TDvpjK/,not sponsored,kait.chen,2024-10-29T02:16:30.000Z,520,15
/p/DBqRWXySb8m/,not sponsored,dalbodre_baking,2024-10-28T08:07:09.000Z,256,4
/p/DBKfU57TJYF/,not sponsored,min0_baking,2024-10-15T23:52:14.000Z,2,no comments
Sponsored,smooche,no time,"428,961",38,
/p/DA3VzEsP-Iy/,not sponsored,jjeong_baking,2024-10-08T13:23:24.000Z,117,3
/p/DBtkJ2MILF0/,not sponsored,bakingbutterr,2024-10-29T14:47:50.000Z,37,no comments
/p/DBuEJQQJXEw/,not sponsored,kingarthurbaking,2024-10-29T19:28:13.000Z,249,4
/p/DBlp8gcoHmX/,not sponsored,mamas_girlbaking,2024-10-26T13:04:31.000Z,41,no comments
/p/DBTVXQ1vGGd/,not sponsored,baking_sim_,2024-10-19T10:18:20.000Z,25,no comments
/p/DBeLUkJAhQY/liked_by/,Sponsored,aaanortheast,no time,3,no comments
/p/DAqvQAfy5aH/,not sponsored,h0me._.baking,2024-10-03T15:55:40.000Z,no likes,no comments
/p/DBtgE5-ogtM/,not sponsored,bakingbutterr,2024-10-29T14:12:12.000Z,54,no comments
/p/DA0l_DtP8vo/,not sponsored,baking._.go3,2024-10-07T11:47:07.000Z,47,4
/p/DBq6B6eOrxc/,not sponsored,bakingamoment,2024-10-28T14:01:18.000Z,112,no comments
/p/DBqPoojIAmq/,not sponsored,mamas_girlbaking,2024-10-28T07:50:49.000Z,50,no comments
Sponsored,planningplaytime,no time,530,7,
/p/DBl4wGtIYPY/,not sponsored,bakingbutterr,2024-10-26T15:13:53.000Z,108,no comments
/p/DBYrxC5Pcy5/,not sponsored,winsome__baking,2024-10-21T12:10:18.000Z,24,2
/p/DBVKPAgvdVu/,not sponsored,min0_baking,2024-10-20T03:19:34.000Z,2,no comments
/p/DAkdb7FPUV9/,not sponsored,hm.__.baking,2024-10-01T05:24:34.000Z,115,13
/p/DBQJFD_PXun/,not sponsored,winsome__baking,2024-10-18T04:33:16.000Z,17,no comments
Sponsored,campus,no time,"90,424",26,
/p/DBlWJVqPPi4/,not sponsored,yur__baking_28,2024-10-26T10:11:30.000Z,11,no comments
/p/DAuwvq6Pfku/,not sponsored,winsome__baking,2024-10-05T05:25:42.000Z,28,no comments
/p/DBjR5MRyQ5l/,not sponsored,sueshappybakes,2024-10-25T14:57:29.000Z,315,25
/p/DBQyTNoPdJF/,not sponsored,yoon_baking42,2024-10-18T10:33:28.000Z,48,4
/p/DAr8AbxvMji/,not sponsored,siwon._.baking,2024-10-04T03:06:23.000Z,17,no comments
Sponsored,tryneously,no time,"1,383,739",558,
/p/DAoOqfGSQrC/,not sponsored,h0me._.baking,2024-10-02T16:32:27.000Z,no likes,no comments
/p/DBbTqhGzkdV/,not sponsored,mijii_baking,2024-10-22T12:37:25.000Z,142,5
/p/DBEHfTmv4YE/,not sponsored,yoon_baking42,2024-10-13T12:28:30.000Z,45,no comments
/p/DBajv45vOqY/,not sponsored,mirae_baking,2024-10-22T05:38:43.000Z,68,no comments
/p/DBTekyAvU1h/,not sponsored,siwon._.baking,2024-10-19T11:38:49.000Z,14,no comments
/p/C-Gh0cXNDY7/liked_by/,Sponsored,newbalancefootball,no time,127,no comments
/p/DBn_ss6g64m/,not sponsored,esmachali,2024-10-27T10:53:04.000Z,44,no comments
/p/DBdBZs4SJ-9/,not sponsored,dalbodre_baking,2024-10-23T04:36:19.000Z,211,4
/p/DBd2SnOvooj/,not sponsored,mijii_baking,2024-10-23T12:19:47.000Z,145,3
/p/DBTu8boyK2j/,not sponsored,dodam.baking,2024-10-19T14:01:52.000Z,45,8
/p/DA2tUdzvTAZ/,not sponsored,siwon._.baking,2024-10-08T07:29:42.000Z,15,no comments
/p/DA_ZqKMgIHr/liked_by/,Sponsored,enascar,no time,46,no comments
/p/DBfV4rPvfhe/,not sponsored,kait.chen,2024-10-24T02:14:39.000Z,"2,724",36
/p/DBI8RyVvb2v/,not sponsored,siwon._.baking,2024-10-15T09:26:44.000Z,9,no comments
/p/DBkRPM0OZ8J/,not sponsored,jacintahalim,2024-10-26T00:12:56.000Z,"2,463",36
/p/DBgI5JKPrqO/,not sponsored,jjeong_baking,2024-10-24T09:39:30.000Z,134,25
/p/DBlpOmUIeox/,not sponsored,mamas_girlbaking,2024-10-26T12:58:15.000Z,42,no comments
/p/C944Z_Wt-yS/liked_by/,Sponsored,amazonkindle,no time,990,8
/p/DBmOvmpo_Xv/,not sponsored,_baking_heaven_,2024-10-26T18:26:04.000Z,101,no comments
/p/DBQI2xMv5un/,not sponsored,winsome__baking,2024-10-18T04:31:19.000Z,22,2
/p/DBh6S30yc68/,not sponsored,yur__baking_28,2024-10-25T02:10:25.000Z,2,no comments
/p/DBc39yHSd-p/,not sponsored,ultimateomnoms,2024-10-23T03:14:52.000Z,285,24
/p/DBlwdWlOCfE/,not sponsored,bakingamoment,2024-10-26T14:01:27.000Z,47,no comments
Sponsored,the.foldie.official,no time,"2,186,101",556,
/p/DBNcb1qv0uF/,not sponsored,miyeonnn_baking,2024-10-17T03:24:41.000Z,261,54
/p/DBh0uQJySor/,not sponsored,miyeonnn_baking,2024-10-25T01:21:43.000Z,159,63
/p/DBOc6ADSuEE/,not sponsored,dodam.baking,2024-10-17T12:48:03.000Z,40,4
/p/C41Md2xg9rY/liked_by/,Sponsored,iheartdogs,no time,"11,930",263
/p/DA3T2scvFWZ/,not sponsored,jjeong_baking,2024-10-08T13:06:25.000Z,158,11
/p/DAxBL0VvYM4/,not sponsored,kkokko_baking,2024-10-06T02:27:50.000Z,94,12
/p/DBm_HAryq7N/,not sponsored,dalbodre_baking,2024-10-27T01:28:41.000Z,260,3
/p/DBj1OqFME9E/liked_by/,Sponsored,lumedeodorant,no time,7,no comments
/p/DBnulgmvrIl/,not sponsored,soongong_baking,2024-10-27T08:23:33.000Z,20,2
/p/DA4hgENT-W7/,not sponsored,yur__baking_28,2024-10-09T00:24:54.000Z,86,11
/p/DBXX05sTIWi/,not sponsored,kkukki_baking,2024-10-20T23:56:49.000Z,6,no comments
/p/DA3iA3dAtV8/liked_by/,Sponsored,disneyplus,no time,753,3
/p/DBm-FecNhMS/,not sponsored,madisonbakingco,2024-10-27T01:22:35.000Z,201,14
/p/DA20x2hPwHW/,not sponsored,jio_baking,2024-10-08T08:34:52.000Z,114,8
/p/DBGO4-AT3Uw/,not sponsored,myong_baking,2024-10-14T08:11:39.000Z,16,no comments
/p/DBnutLkPszD/,not sponsored,soongong_baking,2024-10-27T08:24:36.000Z,19,3
/p/DBG6nExPWiz/,not sponsored,kkukki_baking,2024-10-14T14:33:41.000Z,7,no comments
Sponsored,passion_prep,no time,"10,287",3,
/p/DBosRDJRIGu/,not sponsored,madisonbakingco,2024-10-27T17:25:06.000Z,370,49
/p/DAx0aXYP8u7/,not sponsored,jio_baking,2024-10-06T09:55:28.000Z,114,10
/p/DAvvdsvPd_T/,not sponsored,kkokko_baking,2024-10-05T14:33:45.000Z,93,6
/p/DBXYfdgzalF/,not sponsored,kkukki_baking,2024-10-21T00:02:38.000Z,4,no comments
/p/DBoVOazuR24/,not sponsored,bakingamoment,2024-10-27T14:01:14.000Z,115,2
/p/DAEFwrbA7sd/liked_by/,Sponsored,amazonprime,no time,"1,674",13
/p/DA0SpeJPvt0/,not sponsored,59_baking__,2024-10-07T08:58:09.000Z,48,5
