time collected,id,sponsored,username,time,likes,comments,description
11-01-24 13:08:23,/p/DB0WVHDSe2H/,not sponsored,yur__baking_28,2024-11-01T06:01:43.000Z,no likes,no comments,세상에서 제일 귀여운 긔요미 댕댕이💙
11-01-24 13:08:23,Sponsored,staplesstores,no time,"84,363",4,"💻🎧 Come see (and touch and hear) all the new tech deals at Staples! Shop top brands like ASUS, Apple, HP and more.",
11-01-24 13:08:23,/p/DB1avp4yRuE/,not sponsored,mirae_baking,2024-11-01T15:59:32.000Z,10,no comments,오랜만에 구워본 에그타르트😋
11-01-24 13:08:23,/p/DBwquqjxZ6z/,not sponsored,hichasestokes,2024-10-30T19:43:00.000Z,"654,688",801,"To make a record your way, with your people, and sell out the most famous arena in the world, made my heart explode out"
11-01-24 13:08:23,/p/DB1NOPru5DZ/,not sponsored,bakingamoment,2024-11-01T14:01:25.000Z,16,no comments,"Looking to change up your pasta game? Try this easy puttanesca sauce recipe. It’s positively bursting with bold, robust"
11-01-24 13:08:23,/p/DBzxXwNy7-V/,not sponsored,baking.__.bunny,2024-11-01T00:38:46.000Z,14,2,08년생 살림살이 보태기ㅋㅋㅋ 이벤트 당첨됐어요!!
11-01-24 13:08:23,/p/C9c9c4eNTIG/liked_by/,Sponsored,no username,no time,"1,089",81,Start Your Career in Childcare! Local Daycares Hiring with No Experience Required. See Jobs in Your Area Today! 👇
11-01-24 13:08:23,/p/DBxMIEDNs-y/,not sponsored,bakingforbusiness,2024-10-31T00:34:50.000Z,574,190,This question stops so many people from making an income while they can also make an impact. 🎉
11-01-24 13:08:23,/p/DBy1MrysUV9/,not sponsored,unbruhthered,2024-10-31T15:52:58.000Z,"34,732",63,
11-01-24 13:08:23,/p/DB1Szebp7T6/,not sponsored,thefeedfeed,2024-11-01T14:50:50.000Z,791,8,These French Toast Pigs in a Blanket by @salt.and.piper_ are a fun breakfast variation of everyone’s favorite finger
11-01-24 13:08:23,/p/DAcPC-uMd56/liked_by/,Sponsored,nytcooking,no time,538,2,"Fast enough for a weeknight dinner, this crispy artichoke pantry pasta tastes like a restaurant dish."
11-01-24 13:08:23,/p/DBxAZ3SOQm_/,not sponsored,thishowthingswork,2024-10-30T22:52:24.000Z,"59,655",383,"Before the invention of AutoCAD and similar drafting software, architectural and engineering drafts were created"
11-01-24 13:09:29,/p/DB1HLT0t6hs/,not sponsored,passionforbaking,2024-11-01T13:13:19.000Z,851,14,This cherry ganache is so delicious! It’s bursting with a vibrant cherry flavor that truly shines through.
11-01-24 13:09:38,/p/DByfbYbu4iB/,not sponsored,watchingnewyork,2024-10-31T12:42:44.000Z,"226,186",716,Boo! 👻 Happy Halloween. 🎃
11-01-24 13:09:48,/p/DBZWeZVyLbm/liked_by/,Sponsored,hilton,no time,2,no comments,Aruba Embassy Suites Resort
11-01-24 13:10:04,/p/DBy2DXsva2t/,not sponsored,yoon_baking42,2024-10-31T16:00:26.000Z,24,3,악마 카피바라 초코 컵케이크
11-01-24 13:10:11,/p/DBwatYkS9QW/,not sponsored,angelakinsey,2024-10-30T17:23:01.000Z,"131,727",161,Phyllis will get you down that aisle! Today on Office Ladies it is Finale part 2!! It has been so much fun to rewatch
11-01-24 13:10:19,/p/DB1a5SiMD2z/,not sponsored,based_kana,2024-11-01T16:00:00.000Z,"1,064",8,
11-01-24 13:10:27,/p/DByp0M1OI0-/,not sponsored,pep11customz,2024-10-31T14:13:30.000Z,266,no comments,#flowseries + halo ring prebuilt headlight assemblies. 1800$ + tax + install. Also offered for challenger durango and
11-01-24 13:10:36,Sponsored,trivago,no time,no likes,no comments,Hotel deals in Ayr,
11-01-24 13:10:43,/p/DByv6xuuOjo/,not sponsored,bakingwithblondie,2024-10-31T15:06:50.000Z,"2,152",57,Ghosts of Halloween cake’s past! Which one is your fav? 
