time collected,id,sponsored,username,time,likes,comments,description
10-30-24 21:35:29,/p/DBwrL1SvULi/,not sponsored,bakingwithblondie,2024-10-30T19:48:16.000Z,"1,190",13,There’s a surprise inside this one! 🤍💛🧡! W
10-30-24 21:35:29,/p/DBwF20HJ02y/,not sponsored,thefeedfeed,2024-10-30T14:21:14.000Z,367,10,This Easy Bagel recipe by @feedingtinybellies is about to become your new favorite breakfast 🥯
10-30-24 21:35:29,/p/Cr8-Q3YN7dF/comments/,Sponsored,ironscustomwood_ltd,no time,"737,130",148,Handmade and customizable.
10-30-24 21:35:29,/p/DBwnO6YxuzI/,not sponsored,bakingforbusiness,2024-10-30T19:26:39.000Z,32,30,When I first started out I was scared AF too but👇🏽
10-30-24 21:35:37,/p/DBtYl2XNWRI/,not sponsored,passionforbaking,2024-10-29T13:07:36.000Z,"1,795",26,Hi everyone
10-30-24 21:35:43,/p/DBvfm-OP17B/,not sponsored,hyedada_baking,2024-10-30T09:07:12.000Z,189,20,소금빵으로 막창을 만들었습니다..?🧙🏻‍♀️🧚🏻‍♀️🧞‍♀️(#혜빵
10-30-24 21:35:50,/p/DBvtWlFvyHT/,not sponsored,baking_buddyy,2024-10-30T10:47:43.000Z,754,12,✮ ⋆ ˚｡ 𖦹 ⋆｡°✩
10-30-24 21:36:00,Sponsored,verizon,no time,"59,554",no comments,Save big on iPhone 15 Pro Max with titanium,
10-30-24 21:36:09,/p/DBwLnaMyjXw/,not sponsored,dodam.baking,2024-10-30T15:12:50.000Z,12,no comments,넣고 섞기만 하면 되는 초간단 휘낭시에 만들기=͟͟͞͞➳❥
10-30-24 21:36:09,/p/DBtSs_OPv7n/,not sponsored,bini._.baking_,2024-10-29T12:15:20.000Z,5,no comments,#밤휘낭시에 🌰
10-30-24 21:36:20,/p/DBvjjoZIGVd/,not sponsored,mamas_girlbaking,2024-10-30T09:21:06.000Z,38,no comments,𝗮𝗻𝘁𝗵𝗼𝗽𝗵𝗶𝗹𝗲 ♥️
10-30-24 21:36:27,/p/DBqaBRwvYp9/,not sponsored,baking_buddyy,2024-10-28T09:21:53.000Z,"11,957",216,ღ ⋆ ˚｡ 𖦹 ⋆｡° ღ 🍮 푸딩을 업은 거북이 빵 🍮-
10-30-24 21:36:37,Sponsored,wuffes,no time,"262,227",242,"Limping, stairs, jumping, shaking? 82% of our community saw their dogs' joy of play return in just 3 weeks. Promise of a",
10-30-24 21:36:47,/p/DBvjG2AIBgv/,not sponsored,mamas_girlbaking,2024-10-30T09:17:10.000Z,25,no comments,𝗟𝗲𝘁 𝘆𝗼𝘂𝗿 𝗸𝗶𝗻𝗱𝗻𝗲𝘀𝘀 𝗯𝗲 𝘁𝗵𝗲 𝗻𝗲𝘄 𝘃𝗶𝗯𝗲 🌸🥀
10-30-24 21:36:56,/p/DBrXxeRRX-r/,not sponsored,tutti_dolci,2024-10-28T18:21:44.000Z,555,539,"When the cookie craving comes on strong but you only need a few, my recipe for Small Batch Oatmeal Chocolate Chip"
10-30-24 21:37:05,/p/DBwBfquJMCN/,not sponsored,nutsaboutgreens,2024-10-30T13:43:03.000Z,256,119,"Marbled Black Sesame Banana Bread (vegan, refined sugar free) ✨"
10-30-24 21:37:14,/p/DBwAZP_uCYA/,not sponsored,kingarthurbaking,2024-10-30T13:33:05.000Z,343,no comments,"Two years, hundreds of pounds of flour, and 125 recipes later, the Big Book of Bread is here and ready to inspire bakers"
10-30-24 21:37:21,Sponsored,viator,no time,no likes,no comments,Warner Bros. Studio Tour London The Making of Harry Potter with return transfers,
10-30-24 21:37:26,/p/DBv-pYYxnHY/,not sponsored,bakingforbusiness,2024-10-30T13:30:31.000Z,83,145,I’m giving you 7 FREE products to get started👇🏽
10-30-24 21:37:36,/p/DBv9noHNRAz/,not sponsored,passionforbaking,2024-10-30T13:12:44.000Z,"1,998",31,If you’re looking for a stable frosting with the creamy texture of buttercream—but without the butter—you’re going to
10-30-24 21:37:42,/p/DBwquqjxZ6z/,not sponsored,hichasestokes,2024-10-30T19:43:00.000Z,"370,983",622,"To make a record your way, with your people, and sell out the most famous arena in the world, made my heart explode out"
10-30-24 21:37:42,/p/DBwgh2NoZ3l/,not sponsored,_baking_heaven_,2024-10-30T18:13:53.000Z,25,no comments,Hey guys😌♥️
10-30-24 21:37:47,/p/DA9iCavA9VK/liked_by/,Sponsored,vuoriclothing,no time,"1,011",9,"Built to move in, styled for life™. Get 20% off your first Vuori purchase with email sign-up. Must apply the code"
10-30-24 21:37:55,/p/DBwLg1QOJA-/,not sponsored,bakingwithblondie,2024-10-30T15:12:31.000Z,362,70,Sooooo who’s gonna tell my kids that I’m keeping at least a handful of their candy for these cookies?! 🍭 🍬 🍫 W
10-30-24 21:38:00,/p/DBtjb60Cj7V/,not sponsored,hamper_galore_,2024-10-29T14:42:47.000Z,30,no comments,𝗜𝘁'𝘀 𝘆𝗼𝘂 𝗮𝗹𝘄𝗮𝘆𝘀 🫶🏻♥️📌
10-30-24 21:38:08,/p/DBwmAv6S_bp/,not sponsored,kingarthurbaking,2024-10-30T19:01:47.000Z,295,13,"How many rolling pins do you have? With different jobs they’re made for, styles of rolling pins each serve a purpose"
10-30-24 21:38:15,/p/DBr7n_6S3Jh/,not sponsored,bakingwithish,2024-10-28T23:41:37.000Z,288,14,Talk Dirty To Me Pumpkin ✨ 
10-30-24 21:38:25,Sponsored,hellofora,no time,"622,192",112,Become a Fora Advisor today.,
10-30-24 21:38:35,/p/DBqqYbbvPUc/,not sponsored,maengeul_baking,2024-10-28T11:50:45.000Z,20,no comments,Apple Crumble Cheesecake🍎🧀#recipe 
10-30-24 21:38:41,/p/DBr_UPGvQNh/,not sponsored,bakingwithblondie,2024-10-29T00:07:12.000Z,967,18,Ohhhh 👀👀👀!! N
10-30-24 21:38:50,/p/DBrgjxtvqKz/,not sponsored,the.baking.experiment,2024-10-28T19:41:39.000Z,185,41,Coffee loving ghost 👻 I love his little beanie! 
10-30-24 21:38:57,/p/DBsFsgSOMFa/,not sponsored,pillsburybaking,2024-10-29T01:03:07.000Z,781,12,This Jack-O-Lantern isn’t hollow inside... he’s full of CAKE!🎃⁠
10-30-24 21:39:06,Sponsored,luxuryconfidence_en,no time,"90,694",10,"To reduce blackheads, pimples, and clogged pores... Why does a Celebrity Doctor recommend this odd home remedy? ",
10-30-24 21:39:15,/p/DBqs8LBvuj1/,not sponsored,hyedada_baking,2024-10-28T12:16:40.000Z,349,19,아니; 누가 소금빵을 거기다 구워요;;;
