id,username,time,likes,comments,sponsored
/p/DBEHfTmv4YE/,not sponsored,yoon_baking42,2024-10-13T12:28:30.000Z,45,no comments
Sponsored,chewy,no time,"239,923",no comments,
/p/DBrrI3OOi5I/,not sponsored,nickcannon,2024-10-28T21:11:12.000Z,"51,376",538
/p/DAvvdsvPd_T/,not sponsored,kkokko_baking,2024-10-05T14:33:45.000Z,93,6
/p/DBmFe-XigHd/,not sponsored,wellwith_ell,2024-10-26T17:05:40.000Z,"616,428","1,786"
/p/DA20x2hPwHW/,not sponsored,jio_baking,2024-10-08T08:34:52.000Z,114,8
Sponsored,lightroom,no time,"65,186",26,
/p/DBqqyiWup2F/,not sponsored,iamthirtyaf,2024-10-28T11:48:06.000Z,"107,753",435
/p/DBseLHTM2QH/,not sponsored,netflixnmovies,2024-10-29T04:36:20.000Z,"114,633",206
/p/DAx0aXYP8u7/,not sponsored,jio_baking,2024-10-06T09:55:28.000Z,114,10
/p/C-ts7y3Iaoe/,not sponsored,dr.marionyc,2024-08-16T02:30:00.000Z,"326,996",941
/p/DBZX2wiT7-2/,not sponsored,sarcastic_us,2024-10-21T18:35:00.000Z,"420,981",470
Sponsored,bonhoeffermovie2024,no time,"1,906,015",578,
/p/DBp33SNuo6n/,not sponsored,hotfreestyle,2024-10-28T04:23:06.000Z,"57,034",416
/p/DBOuxvzxQxf/,not sponsored,wawawiwacomics,2024-10-17T15:24:12.000Z,"877,829",528
/p/DBrni04oCA8/,not sponsored,tobias_bell,2024-10-28T20:44:37.000Z,"264,626","1,193"
/p/C-gJRdSNGQO/,not sponsored,reisagda,2024-08-10T20:25:33.000Z,"313,004","1,710"
Sponsored,bibimus_us,no time,9,no comments,
/p/C_Id4j2On_B/,not sponsored,1plus2plus3,2024-08-26T11:59:02.000Z,"213,563","1,590"
/p/DBRaTIGJaWi/,not sponsored,billboard,2024-10-18T16:22:59.000Z,"28,374",83
/p/DAfWnR4xVvP/,not sponsored,mariaagloriaa,2024-09-29T05:50:12.000Z,"372,376","1,586"
/p/DBANQOzynGi/,not sponsored,netflixnmovies,2024-10-12T00:01:54.000Z,"402,630","1,015"
Sponsored,quasiskinco,no time,"1,677,716",393,
/p/DAja9eduU5c/,not sponsored,emmadaniels.x,2024-09-30T19:46:25.000Z,"973,053","8,371"
/p/DBD2vXFzMgd/,not sponsored,darby_hudson,2024-10-13T10:02:08.000Z,"15,768",86
/p/C-iBDPTATaU/,not sponsored,thebettercinema,2024-08-11T13:36:15.000Z,"112,994",193
/p/DA9m36mxCET/,not sponsored,redgroverredgrover,2024-10-10T23:48:03.000Z,"226,877",62
Sponsored,whosfeedingmimi,no time,247,18,
/p/DBoNa7Wxa-I/,not sponsored,itstheconsciousmom,2024-10-27T12:52:59.000Z,"17,335",46
/p/DBh3-bVyYEm/,not sponsored,kikiswiftie,2024-10-25T01:50:09.000Z,"43,693",54
/p/DBrVZmoulVY/,not sponsored,netflix,2024-10-28T18:00:00.000Z,"308,356","1,673"
/p/DBd3rEMuz30/,not sponsored,people,2024-10-23T13:00:33.000Z,"99,374",106
Sponsored,canva,no time,6,no comments,
/p/DBI6z2uOFVD/,not sponsored,zoesaldana,2024-10-15T09:13:54.000Z,"355,353",744
