time collected,id,sponsored,username,time,likes,comments,description
10-31-24 10:04:15,/p/DByJvFJvK1g/,not sponsored,siwon._.baking,2024-10-31T09:33:11.000Z,23,no comments,제빵기능사 합격했어요!!! 4트만에 성공!!
10-31-24 10:04:15,/p/DBxTC62JBqW/,not sponsored,bakingthursdays,2024-10-31T01:36:44.000Z,"3,203",19,what I’m trying to look like at my wedding next year💪😤
10-31-24 10:04:15,Sponsored,verizon,no time,"135,461",9,Save on iPhone 15. No trade-in required. With new line on myPlan.,
10-31-24 10:04:15,/p/DByIiEXPFzM/,not sponsored,baking_naong,2024-10-31T09:22:40.000Z,45,8,👻햅삐 할로윈👻
10-31-24 10:04:23,/p/DBxrNsNszMY/,not sponsored,bakingwithstephy,2024-10-31T05:06:29.000Z,374,6,We 🩵 you Freddie 🫶🏻 2024 World Champions✨🍰⚾️..
10-31-24 10:04:30,/p/DByNqPtPkZ-/,not sponsored,dalgom_baking,2024-10-31T10:07:29.000Z,3,no comments,#모카크림브레드 ☕️
10-31-24 10:04:39,Sponsored,viator,no time,no likes,no comments,Icelandic Horseback Riding Tour from Reykjavik,
10-31-24 10:04:50,/p/DByi1pwv5gI/,not sponsored,jio_baking,2024-10-31T13:12:32.000Z,15,no comments,#휘낭시에 
10-31-24 10:04:50,/p/DByocW8OlE1/,not sponsored,bakingamoment,2024-10-31T14:01:33.000Z,no likes,no comments,This easy lemon pasta recipe is such a luxurious treat! Just a few ingredients & 10 minutes and you’ll be in sunny
10-31-24 10:04:58,/p/DByO1AEPEm6/,not sponsored,jiji._.baking,2024-10-31T10:17:41.000Z,14,4,단짠단짠 황치즈 마들렌
10-31-24 10:05:05,/p/DByZXzGP78k/,not sponsored,miyeonnn_baking,2024-10-31T11:49:49.000Z,57,30,목잘린 할로윈쿠키👻
10-31-24 10:05:15,Sponsored,pupford,no time,"109,525",56,Start building a better relationship with your pup with our 100% Free dog training course!😮,
10-31-24 10:05:15,/p/DByhrqcPQa3/,not sponsored,maengeul_baking,2024-10-31T13:02:26.000Z,no likes,no comments,#광고 @miltec.house_kr 
10-31-24 10:05:39,/p/DBylmKPOu9H/,not sponsored,kingarthurbaking,2024-10-31T13:36:38.000Z,48,no comments,This #BakeItEasy recipe doesn’t even require baking! It’s a light and comforting chicken stew topped with fluffy
10-31-24 10:05:44,/p/DByiwu6taWX/,not sponsored,passionforbaking,2024-10-31T13:16:27.000Z,280,6,"Happy Thursday, everyone! ☀️"
10-31-24 10:05:49,/p/DByccYVPP94/,not sponsored,mijii_baking,2024-10-31T12:18:40.000Z,118,27,🎃할로윈 쿠키 3종세트👻
10-31-24 10:05:55,/p/DAi0EGRsasy/liked_by/,Sponsored,nissanusa,no time,17,no comments,"Find a new thrill in the Nissan Rogue, Sentra, Altima, KICKS, LEAF, and Versa."
10-31-24 10:06:05,/p/DBtSs_OPv7n/,not sponsored,bini._.baking_,2024-10-29T12:15:20.000Z,5,no comments,#밤휘낭시에 🌰
10-31-24 10:06:14,/p/DBxUHKMSedf/,not sponsored,maengeul_baking,2024-10-31T01:44:37.000Z,17,no comments,가을 사과 만끽하기 @miltec.house_kr 🍎🫶🏻바
10-31-24 10:06:20,/p/DBtkqNKJaGT/,not sponsored,thefeedfeed,2024-10-29T14:53:45.000Z,"1,302",256,Comment ‘RECIPE’ to have this Apple Spiced Chai Latte Cupcake recipe by @noran_dakhel sent to your DMs 🍎🧁
10-31-24 10:06:26,/p/DBxbu1qxrPW/,not sponsored,bakingitbeautiful,2024-10-31T02:51:32.000Z,14,6,"If you are looking for something yummy to make with all of those Butterfingers you get on Halloween, then this"
10-31-24 10:06:26,/p/DAZS_HzsQVK/liked_by/,Sponsored,mazdausa,no time,165,no comments,The cabin of the Mazda CX-30 is equipped with intuitive features and essential details to seamlessly become an extension
10-31-24 10:06:32,/p/DBwmAv6S_bp/,not sponsored,kingarthurbaking,2024-10-30T19:01:47.000Z,421,13,"How many rolling pins do you have? With different jobs they’re made for, styles of rolling pins each serve a purpose"
10-31-24 10:06:40,/p/DBsDO77SEFW/,not sponsored,bakingwithstephy,2024-10-29T00:40:56.000Z,428,19,Robin Turns 7 ✨💜🍰 had the best time celebrating my baby girl. I LOVE making my kids’ birthday cakes 💕.
10-31-24 10:06:49,/p/DBr7n_6S3Jh/,not sponsored,bakingwithish,2024-10-28T23:41:37.000Z,294,14,Talk Dirty To Me Pumpkin ✨ 
10-31-24 10:06:54,/p/DBuQauRo0Q5/,not sponsored,fuckboyproblem.s,2024-10-29T21:15:43.000Z,"171,134",551,Follow (us) @FUCKBOYPROBLEM.S for more 😂🍿💚 t
10-31-24 10:07:02,Sponsored,tousjewelry,no time,no likes,no comments,Burgundy Sweet Dolls Elastic Bracelet,
10-31-24 10:07:10,/p/DBs4_JgvYII/,not sponsored,baking_buddyy,2024-10-29T08:30:38.000Z,"1,442",20,ミ✩
10-31-24 10:07:19,/p/DBrdDQMyatc/,not sponsored,kingarthurbaking,2024-10-28T19:07:17.000Z,896,28,"Raise your hand if you've ever found yourself needing softened butter NOW — no time to waste, wait, or wonder! So what,"
10-31-24 10:07:28,/p/DBydN0zOR2I/,not sponsored,sallysbakeblog,2024-10-31T12:24:11.000Z,542,38,Comment RECIPE and we can automatically DM it to you. It is also linked in my bio @sallysbakeblog
10-31-24 10:07:35,/p/DBtu7wgIa3J/,not sponsored,officialpetermatt2024,2024-10-29T16:22:26.000Z,"152,917",249,Was it really that bad? 😭🤣 This iconic moment of Bruno Mars laughing as the Brazilian crowd sang totally off-key
10-31-24 10:07:43,/p/C9PpwMQteBU/liked_by/,Sponsored,no username,no time,"3,526",136,Everyone should know this about new clothes: https://thebreeze.earthbreeze.com/pages/wash-new-clothes-3
10-31-24 10:07:43,/p/DBtbgTlO0sk/,not sponsored,kingarthurbaking,2024-10-29T13:32:15.000Z,"1,024",8,"Spooky season just got sweeter! 🖤🎃 These Halloween cookies are light, crispy, and loaded with rich cocoa flavor. Thanks"
10-31-24 10:07:52,/p/DBq_7nBphbI/,not sponsored,thefeedfeed,2024-10-28T14:54:40.000Z,"1,355",118,(ad) Comment ‘RECIPE’ to have this Braided Raspberry Knot recipe sent to your DMs 🥰 Homemade @driscollsberry raspberry
10-31-24 10:08:05,/p/DBuRoqINkLE/,not sponsored,_ongsquad,2024-10-29T21:46:53.000Z,"60,093",303,And then there’s me.😭 24 years ago I stepped onto Stanford campus for what would be one of the most exciting and
10-31-24 10:08:15,/p/DBtyG0apL6o/,not sponsored,theweekendbuilder,2024-10-29T16:52:50.000Z,"25,869",99,*FOLLOW ME* to see DIY mistakes 👆 
10-31-24 10:08:22,/p/DBozVJYsI4B/liked_by/,Sponsored,_heatherscreations,no time,46,2,"Hey, y'all, the new pretzel creations are here, introducing a Oreo cookies & cream also a milk chocolate with fall"
10-31-24 10:08:22,/p/C_5oRJFuTAB/,not sponsored,therealmentallab,2024-09-14T14:28:23.000Z,"1,284,508","18,212",Follow ( us ) @therealmentallab for more content like this 📲💡🌟D
10-31-24 10:08:30,/p/DBt-ly3IJnK/,not sponsored,fuckboyproblem.s,2024-10-29T18:40:07.000Z,"152,248",627,Follow (us) @FUCKBOYPROBLEM.S for more 😂🍿💚 T
10-31-24 10:08:39,/p/DBuRRu9svj0/,not sponsored,the.dad.vibes,2024-10-29T21:23:17.000Z,"38,518",733,“I wasn’t trying to make you angry.”
